video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url
7505380653337201951,user71439611270604,#tiktok #movie #foryou #fyp,82200,385,3212,1600000,"tiktok, movie, foryou, fyp",original sound - user71439611270604,2025-05-17 11:50:47,https://www.tiktok.com/@user71439611270604/video/7505380653337201951
7505142359919725854,maggiemorrislife,Help lol what do I do  #apartment #room #college #help ,102200,444,395,511400,"apartment, room, college, help",Running Man Challenge (Vine Me My Boo),2025-05-16 20:25:36,https://www.tiktok.com/@maggiemorrislife/video/7505142359919725854
7506300767616290094,iambeckyg,How we feeling about the new music? 🥰 ya girl is bien happiii y emocionada ,54100,362,544,309400,,original sound,2025-05-19 23:21:21,https://www.tiktok.com/@iambeckyg/video/7506300767616290094
7506764261545282846,lj3141,#nba #wnba ,41100,350,587,259300,"nba, wnba",original sound,2025-05-21 05:19:28,https://www.tiktok.com/@lj3141/video/7506764261545282846
7505153526138408197,thony.shxt,GRRRR #fyp #gato #gatos #grr ,705000,2586,173600,5600000,"fyp, gato, gatos, grr",sonido original,2025-05-16 21:08:52,https://www.tiktok.com/@thony.shxt/video/7505153526138408197
7506918636825611527,mskaramelkaaa,мы боимся экзаменов…,78600,590,1769,943900,,original sound - tan tan,2025-05-21 15:18:22,https://www.tiktok.com/@mskaramelkaaa/video/7506918636825611527
7507049555725126942,elavateddynastyllc_,It didn't bother them 😂‼️ #workbestie #cnahumor  #CNA  #cnastruggles  #solardria  #cnajokes  #cnasoftiktok  #cnaproblems  #raysrawexperience  #worklife  #relatable  #fyp ,52100,123,45600,692900,"workbestie, cnahumor, cna, cnastruggles, solardria, cnajokes, cnasoftiktok, cnaproblems, raysrawexperience, worklife, relatable, fyp",original sound,2025-05-21 23:46:27,https://www.tiktok.com/@elavateddynastyllc_/video/7507049555725126942
7505159764364496159,xbox,Gotta take out the trash before you take out the demons #DOOM #Xbox #GamePass ,40400,611,1465,2000000,"doom, xbox, gamepass",original sound,2025-05-16 21:33:09,https://www.tiktok.com/@xbox/video/7505159764364496159
7501390230478458142,_emilypaulichi,1000/10 RECOMMEND GOING TO EPIC UNIVERSE🪐✨ #epicuniverse #orlando #universal ,1000000,6864,315500,7100000,"epicuniverse, orlando, universal",som original,2025-05-06 17:45:55,https://www.tiktok.com/@_emilypaulichi/video/7501390230478458142
7505940041324072214,vxult24,Hopefully this reaches the right audience.  . . #jailbreak #viral ,596600,4612,93700,4100000,"jailbreak, viral",nanas letter to hachi,2025-05-19 00:01:11,https://www.tiktok.com/@vxult24/video/7505940041324072214
7506714466495647007,bleacherreport,"326 feet into the short porch for Judge 😤 (via @MLB, @YES Network) #mlb #baseball #yankees #aaronjudge",44900,338,485,535200,"mlb, baseball, yankees, aaronjudge",original sound,2025-05-21 02:06:12,https://www.tiktok.com/@bleacherreport/video/7506714466495647007
7505406342128094494,meow.wulf,"I wish that success keeps following you in everything that you do. Dream new dreams, embark on who you are, embrace life with passion, and keep reaching for the stars. Shine on and go for it! Congratulations 🎉🎈🎊🍾 #graguation #classof #proudgraguate #graguationmonth #gradcap #embracingthefuture ",55900,775,70200,922600,"graguation, classof, proudgraguate, graguationmonth, gradcap, embracingthefuture",sonido original,2025-05-17 13:30:40,https://www.tiktok.com/@meow.wulf/video/7505406342128094494
