video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url
7506779971264728366,jbddyv,#rickandmorty #fyp #foryou ,52300,204,441,797600,"rickandmorty, fyp, foryou",original sound,2025-05-21 06:20:30,https://www.tiktok.com/@jbddyv/video/7506779971264728366
7506569597177416976,bottybo_,Respuesta a @queenbetica87 #valeriamarquez #jalisco #bottybo #vivian ,28600,1202,653,3500000,"valeriamarquez, jalisco, bottybo, vivian",original sound,2025-05-20 16:44:27,https://www.tiktok.com/@bottybo_/video/7506569597177416976
7506485019003784494,prettysouizrbx,shush.  - - - - - - - #fyp #home #shusher #shutit ,201200,612,11200,594200,"fyp, home, shusher, shutit",original sound,2025-05-20 11:17:09,https://www.tiktok.com/@prettysouizrbx/video/7506485019003784494
7506299292299087147,lightskinmiracle,🤦🏼‍♀️🤦🏼‍♀️the audacity #goldendoodle #viral #funny #humandogsbelike ,79600,736,8007,307400,"goldendoodle, viral, funny, humandogsbelike",original sound,2025-05-19 23:15:35,https://www.tiktok.com/@lightskinmiracle/video/7506299292299087147
7492914685600140586,mylittleworld1234,#grandparents #childlife #games #funny,2500000,5849,414600,15500000,"grandparents, childlife, games, funny",original sound,2025-04-13 21:36:16,https://www.tiktok.com/@mylittleworld1234/video/7492914685600140586
7506922137614093598,streetzknowledge,#fyp #streetzknowledge #hoodcycle ,18400,584,302,281900,"fyp, streetzknowledge, hoodcycle",original sound,2025-05-21 15:32:07,https://www.tiktok.com/@streetzknowledge/video/7506922137614093598
7506309698174373150,thesmart.blonde1,Like thank u queen. Karma is real and she’s on my side #fyp ,19900,81,59,305000,fyp,original sound,2025-05-19 23:55:32,https://www.tiktok.com/@thesmart.blonde1/video/7506309698174373150
7506234056229604638,babyusa66,Baby acts dramatically when told no 😭  #baby #babiesoftiktok #babytok #fyp ,87800,210,11700,691400,"baby, babiesoftiktok, babytok, fyp",original sound,2025-05-19 19:02:11,https://www.tiktok.com/@babyusa66/video/7506234056229604638
7496766527560043794,0000neto,,838100,1814,4423,18200000,,fantasmas,2025-04-24 06:43:01,https://www.tiktok.com/@0000neto/video/7496766527560043794
7507021881782947094,younetflixs,#creatorsearchinsights #lovequinn #lovequinnyou #you #younetflix #joegoldberg #sad #crying #sobbing #heartbroken #love #relatable #cooking #baking #foryou #fyp #fypツ ,383200,707,14000,2100000,"creatorsearchinsights, lovequinn, lovequinnyou, you, younetflix, joegoldberg, sad, crying, sobbing, heartbroken, love, relatable, cooking, baking, foryou, fyp, fypツ",original sound,2025-05-21 21:59:03,https://www.tiktok.com/@younetflixs/video/7507021881782947094
7507459238696946975,sunavatans,It’s that time again 💁🏻‍♀️ #sunless #barstoolsports #spraytan #memorialday #memorialdayweekend #havasu #boating @Gunner Crutchfield @Barstool Sports ,147400,670,19700,1200000,"sunless, barstoolsports, spraytan, memorialday, memorialdayweekend, havasu, boating",Flamin’ Hottie,2025-05-23 02:16:25,https://www.tiktok.com/@sunavatans/video/7507459238696946975
7507300680449903918,georgiauntamedzoo,"VOLUME UP!!🔊 Have you ever heard the sound of a Southern Cassowary? This is one of the lowest frequency sounds made by any bird, with her head aimed towards the ground “Bertha’s” entire body shudders as she makes her call. Our resident cassowaries often get compared to dinosaurs, judging by the size of her cask- who can guess how old “Bertha” really is? #cassowary#zoo#georgiauntamedzoo#dinosaur#hogansvillega#animalsoftiktok🐾 #adventure ",88700,1309,14800,595000,"cassowary, zoo, georgiauntamedzoo, dinosaur, hogansvillega, animalsoftiktok🐾, adventure",original sound,2025-05-22 16:01:05,https://www.tiktok.com/@georgiauntamedzoo/video/7507300680449903918
7507319592662994206,evelynomadera,1st day of streamer university 📚 #evelynortiz #streameruniversity ,135100,424,319,1400000,"evelynortiz, streameruniversity",original sound,2025-05-22 17:14:25,https://www.tiktok.com/@evelynomadera/video/7507319592662994206
7506261496591076639,chiiyoma,Call me big fish ✨ #naturalhair #hair #hairstyle #grad #graduation ,53500,162,821,243000,"naturalhair, hair, hairstyle, grad, graduation",original sound,2025-05-19 20:48:37,https://www.tiktok.com/@chiiyoma/video/7506261496591076639
7506338432684264734,nicgoldz,bob convention #bob #nyc ,215900,970,59200,1100000,"bob, nyc",Out of My Mind (feat. Nicki Minaj),2025-05-20 01:47:10,https://www.tiktok.com/@nicgoldz/video/7506338432684264734
7505876800153619754,alexacurtisunfiltered,If he wants culture we can move to Danbury #connecticut #funny #relatable #fyp ,43400,988,6099,385600,"connecticut, funny, relatable, fyp",original sound,2025-05-18 19:56:02,https://www.tiktok.com/@alexacurtisunfiltered/video/7505876800153619754
