video_id,create_time,clean_description,author,hashtag_list,hashtag_count,hashtag_categories,total_engagement,predicted_proba,confidence_score
7505871288087366958,2025-05-18 19:34:38,funniest tiktok duets ever n is insane  tiktokduets funnyduets fyp viral toptiktoks funniest,top5moment24,"['tiktokduets', 'funnyduets', 'fyp', 'viral', 'toptiktoks', 'funniest']",6,Comedy,556710,0.24,0.52
7506994724935322922,2025-05-21 20:13:46,sga has won the  nba mvp award  shaigilgeousalexander mvp nbamvp oklahomacitythunder nbaplayoffs,yahoosports,"['shaigilgeousalexander', 'mvp', 'nbamvp', 'oklahomacitythunder', 'nbaplayoffs']",5,Sports,86199,0.22085737208271625,0.5582852558345675
7507007306798812446,2025-05-21 21:02:34,when youve officially given up satire economy inflation,landokalriz,"['satire', 'economy', 'inflation']",3,Sports,96799,0.15458310775587641,0.6908337844882472
7507012287962582302,2025-05-21 21:21:53,a lifelong commitment to greatness  from workouts with dad to the eastern conference finals  nba basketball jalenbrunson ny,nba,"['nba', 'basketball', 'jalenbrunson', 'ny']",4,Sports,44138,0.11965439255659314,0.7606912148868137
7507395216106638623,2025-05-22 22:07:50,things you dont call in pickup basketball ant henderson aj lapray calebnashfeemster nba dunk,everybodyhatechriss,"['nba', 'dunk']",2,Sports,192881,0.11222141439632946,0.775557171207341
7506947815201852718,2025-05-21 17:11:44,bill belichick has reportedly renamed his boat i  viii rings  a nod to his eight nfl championships and the one college cheerleading title won by his yearold girlfriend jordon hudson    sports basketball nba highlights highlight fyp foryou fypage foryoupage explore trending trendingreels reels videos viral viralvideos taylorswift insta instagram tiktok instalike nfl football collegefootball baseball news entertainment kobe jordan billbelichick,tmspn.com,"['sports', 'basketball', 'nba', 'highlights', 'highlight', 'fyp', 'foryou', 'fypage', 'foryoupage', 'explore', 'trending', 'trendingreels', 'reels', 'videos', 'viral', 'viralvideos', 'taylorswift', 'insta', 'instagram', 'tiktok', 'instalike', 'nfl', 'football', 'collegefootball', 'baseball', 'news', 'entertainment', 'kobe', 'jordan', 'billbelichick']",30,"Education,Travel,Sports",11658,0.09987364058458759,0.8002527188308248
7506280638971006251,2025-05-19 22:03:32,what was the most dangerous version of these nba stars nba basketball sports,thedeepthree,"['nba', 'basketball', 'sports']",3,Sports,69239,0.07149284104498996,0.85701431791002
7507026002162322718,2025-05-21 22:15:05,s nba logos tier list nba basketball sports,thedeepthree,"['nba', 'basketball', 'sports']",3,Sports,32291,0.06987364058458759,0.8602527188308249
7507792613328571694,2025-05-23 23:50:20,forget petty wilkins said this game was rigged  nba hoops shaq davidrobinson beef fyp fyp,zellertheyeller,"['nba', 'hoops', 'shaq', 'davidrobinson', 'beef', 'fyp']",6,Sports,52199,0.06,0.88
7506879630570196280,2025-05-21 12:47:02,fiker_di motosport motorcycle moto progasi мотоспорт мотоциклы мотоцикл мото прогаси,evgeni3483,"['motosport', 'motorcycle', 'moto', 'progasi', 'мотоспорт', 'мотоциклы', 'мотоцикл', 'мото', 'прогаси']",9,Sports,349389,0.05999381608029768,0.8800123678394046
