video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url
7505884679732595998,espn,#Jokic #Thunder #Nuggets #nbaonespn #nbaplayoffs,104000,444,1521,886800,"jokic, thunder, nuggets, nbaonespn, nbaplayoffs",original sound,2025-05-18 20:26:24,https://www.tiktok.com/@espn/video/7505884679732595998
7506576576595627295,mab58592,holy groutfit,84000,150,301,636700,,Get Me Out Of Here (Just For Now),2025-05-20 17:11:15,https://www.tiktok.com/@mab58592/video/7506576576595627295
7506975585688784174,whyk4re,Panjabi MC Cooked On This One 😮‍💨🔥 #punjabi #fypシ゚viral #singing ,607500,5631,216000,5000000,"punjabi, fypシ゚viral, singing",original sound,2025-05-21 18:59:33,https://www.tiktok.com/@whyk4re/video/7506975585688784174
7496270798668205334,riyii_,GHETTOOO #fyp #fy ,1800000,8734,227300,7100000,"fyp, fy","Spooky, quiet, scary atmosphere piano songs",2025-04-22 22:39:24,https://www.tiktok.com/@riyii_/video/7496270798668205334
7506693582862994730,cantfwbignas_,DC:@Eŵay♠️🕸️  @NAS | FL | 727 | ✈️💰☀️🏝️ @sexyghurl_nece ,44800,4049,2713,971800,,Pale Pale Moon Sinners Nola Bounce Mix,2025-05-21 00:45:11,https://www.tiktok.com/@cantfwbignas_/video/7506693582862994730
7501957535214128391,_wikull_,,205500,2083,113200,1900000,,оригинальный звук,2025-05-08 06:26:47,https://www.tiktok.com/@_wikull_/video/7501957535214128391
7507326967323086110,elle.c.christensen,this is how i’m dealing with my anger this year ☺️ #couplecomedy #relationship #chores ,67100,289,3116,602300,"couplecomedy, relationship, chores",Ode to Joy- Symphony No.9 in D Minor 'choral',2025-05-22 17:43:02,https://www.tiktok.com/@elle.c.christensen/video/7507326967323086110
7505407889251618070,notfunny_pig,,196600,1710,78700,940600,,оригинальный звук,2025-05-17 13:35:55,https://www.tiktok.com/@notfunny_pig/video/7505407889251618070
7506865635964489003,alyssa_eiland,Maybe I’m a Velcro adult #momsoftiktok ,79100,458,7633,315100,momsoftiktok,This Is The Life Demo Hannah Montana,2025-05-21 11:52:50,https://www.tiktok.com/@alyssa_eiland/video/7506865635964489003
7505574645869874462,sivanontop,@Brogan #real #yn #twin #brother #core #life ,270100,1984,52400,1300000,"real, yn, twin, brother, core, life",original sound,2025-05-18 00:23:15,https://www.tiktok.com/@sivanontop/video/7505574645869874462
7505139156494880055,makenna_07,I’m sorry no more comments I can’t handle everyone’s negativity about my hair the point was about me showing confidence and so many people ruined that I just can’t read any more#hair#hairdye#change#blonde#viral#fyp#relatable#girls#life#feelings#appearence,270100,0,2918,1300000,"hair, hairdye, change, blonde, viral, fyp, relatable, girls, life, feelings, appearence",Originalton - music lyrics,2025-05-16 20:13:04,https://www.tiktok.com/@makenna_07/video/7505139156494880055
7505860158774480174,core_reels,He brought food for his Son Only and didn’t bring for her other kids. What do y’all think? #relationship #corecore #couple #real #ungrateful #singledad #childsupport #loyaltytest #newyork ,44300,5908,1510,1100000,"relationship, corecore, couple, real, ungrateful, singledad, childsupport, loyaltytest, newyork",original sound,2025-05-18 18:51:41,https://www.tiktok.com/@core_reels/video/7505860158774480174
7506187163604684054,florence.zoe,pls can we bring on summer #fyp #eye #colour #eyecolour #greeneyes #hazeleyes #browneyes ,225100,342,997,1800000,"fyp, eye, colour, eyecolour, greeneyes, hazeleyes, browneyes",original sound,2025-05-19 15:59:54,https://www.tiktok.com/@florence.zoe/video/7506187163604684054
7507067994426592543,notashleybarnes,wish you were right here… @Brad Mason ,105900,163,193,724200,,original sound,2025-05-22 00:58:03,https://www.tiktok.com/@notashleybarnes/video/7507067994426592543
7506567638424800542,definitely_not_miryam,I was not overreacting my hand hurts to move and close 🤩🙂‍↕️ #monsterenergy #monsterenergymangoloco #mangoloco #bestflavor #fypシ #fyp #craft #diyproject ,17900,263,506,215800,"monsterenergy, monsterenergymangoloco, mangoloco, bestflavor, fypシ, fyp, craft, diyproject",original sound,2025-05-20 16:36:45,https://www.tiktok.com/@definitely_not_miryam/video/7506567638424800542
7505504688125775150,jaycinco.clips,"DDG Pays Jay Cinco $100,000 To Not Go To Streamers University... 😂🤣😭 #jaycinco#ddg#indalove#wendyortiz#streameruniversity#fyp#funny",75000,280,1381,624800,"jaycinco, ddg, indalove, wendyortiz, streameruniversity, fyp, funny",original sound - Jay Cinco,2025-05-17 19:52:09,https://www.tiktok.com/@jaycinco.clips/video/7505504688125775150
7505528406759542046,entertainmenttonight,This diva! 😭💚 ‘Lilo & Stitch’ star Maia Kealoha is living her best life getting ready for her BIG movie premiere. #liloandstitch #stitch ,87200,339,1661,800100,"liloandstitch, stitch",hawaiian roller coaster ride,2025-05-17 21:23:53,https://www.tiktok.com/@entertainmenttonight/video/7505528406759542046
7505865817159142658,lemifn,"In response to declining birth rates and shrinking student populations, some rural schools in South Korea have enrolled elderly women-particularly grandmothers who never had the opportunity to learn to read or write-to keep their classrooms open. For example, Bangrim Primary School in Gangwon Province, which once had nearly 700 students, saw its enrollment drop to just 22. To prevent closure, the school began admitting elderly women like 72-year-old Park Go-ee, who now attends classes alongside much younger students to learn the literacy skills she missed earlier in life. This initiative not only helps sustain rural schools but also offers lifelong learning opportunities for seniors, enhancing their social inclusion and mental well-being. Studies have shown that literacy education for rural seniors in South Korea is positively linked to greater social inclusion and improved mental health. As South Korea continues to grapple with one of the world's lowest fertility rates, such innovative approaches serve a dual purpose: preserving educational institutions in rural areas and empowering elderly citizens through education. #fyp #blowup #story #school ",273000,880,13200,1100000,"fyp, blowup, story, school",som original,2025-05-18 19:12:53,https://www.tiktok.com/@lemifn/video/7505865817159142658
7506185446746082602,nelahmilan,😭😭😭😭 #rodwave ,142100,585,9789,483500,rodwave,original sound,2025-05-19 15:54:03,https://www.tiktok.com/@nelahmilan/video/7506185446746082602
7507459052645960991,spacecowgirlyaya,Si Sailor Moon fuera una Adelita 🇲🇽❤️ #sailormoon #sailormooncosplay #sailormooncosplayer ,305000,1331,18500,981900,"sailormoon, sailormooncosplay, sailormooncosplayer",sonido original,2025-05-23 02:15:38,https://www.tiktok.com/@spacecowgirlyaya/video/7507459052645960991
7505922626355744031,tj.clipalot,Lacy might get kick from faze after he accidentally ate Kaysan cookie ❤️‍🩹 #lacy ,24100,68,228,398100,lacy,orijinal ses,2025-05-18 22:53:31,https://www.tiktok.com/@tj.clipalot/video/7505922626355744031
7506931134190701867,cocolill,#movie #tiktok,26200,275,820,1400000,"movie, tiktok",original sound - cocolill,2025-05-21 16:07:04,https://www.tiktok.com/@cocolill/video/7506931134190701867
7506492568167795974,danya_potapovv,😂,166700,3636,26200,1700000,,son original,2025-05-20 11:45:03,https://www.tiktok.com/@danya_potapovv/video/7506492568167795974
