video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url
7507571121936502023,tenderlybaemusic,,132800,244,5161,1100000,,СПЛЕТНИ 16 МАЯ,2025-05-23 09:30:21,https://www.tiktok.com/@tenderlybaemusic/video/7507571121936502023
7507195715332918546,aussie_goat90,#lawbymike #zackdfilms #raywilliamjohnson #markrober ,315600,3926,24600,2100000,"lawbymike, zackdfilms, raywilliamjohnson, markrober",original sound - sebastian,2025-05-22 09:13:34,https://www.tiktok.com/@aussie_goat90/video/7507195715332918546
7500258878764895530,popularliar,#fypシ゚ #trending #curlyhair ,318800,1663,4506,1400000,"fypシ゚, trending, curlyhair",original sound,2025-05-03 16:35:39,https://www.tiktok.com/@popularliar/video/7500258878764895530
7507795944092552494,stephenhilton7,I don’t have any friends irl so of course I’m asking my online friends for help. I’m unusual. This is how I communicate I guess. My famiky are in England so the time difference. There was no incident. I had my kids Wednesday overnight with her blessing  . How can someone get this with NO cause. First a picture of my kids playing. Then the best friend comes to my door smirking at me and hands me ths,22000,5434,665,1200000,,original sound,2025-05-24 00:03:14,https://www.tiktok.com/@stephenhilton7/video/7507795944092552494
7507411598806355230,drizzleon,LETTER A Edition. Letter B is coming up. What names did I miss??🇲🇽🇲🇽🇲🇽,28600,1626,3208,532900,,Jit trippin,2025-05-22 23:11:23,https://www.tiktok.com/@drizzleon/video/7507411598806355230
7507056626554195242,haileywiththe.sass,Busy thrivingggg ☕️💅🏻 #30s #womenintheir30s ,18800,258,2257,276200,"30s, womenintheir30s",original sound,2025-05-22 00:14:02,https://www.tiktok.com/@haileywiththe.sass/video/7507056626554195242
7507212265079328031,lightenupash,Thank you @Hawaiian Airlines Always take care 🥰 #fyp #fypシ ,196700,2849,48100,2600000,"fyp, fypシ",original sound,2025-05-22 10:17:59,https://www.tiktok.com/@lightenupash/video/7507212265079328031
7507477435043253550,pengu_app,"Too bad Duo, too bad #duolingo #boss #ripduo #summer #fypp ",28900,694,465,332500,"duolingo, boss, ripduo, summer, fypp",original sound,2025-05-23 03:27:34,https://www.tiktok.com/@pengu_app/video/7507477435043253550
7507729144168320286,siennazac,#bf #trend #fyp @Sebbie ,367700,996,13300,1500000,"bf, trend, fyp",original sound,2025-05-23 19:43:46,https://www.tiktok.com/@siennazac/video/7507729144168320286
7507214769087204615,banditka_228528,,63600,191,30500,986600,,оригинальный звук,2025-05-22 10:27:31,https://www.tiktok.com/@banditka_228528/video/7507214769087204615
7506988398234668294,celepami0,porfavor eso jamás @Renata Blasevich ,749600,2653,208500,7800000,,sonido original,2025-05-21 19:49:08,https://www.tiktok.com/@celepami0/video/7506988398234668294
7501740738309279018,whyk4re,#cantholdus #fypシ゚viral #macklemore ,3800000,10500,629000,21900000,"cantholdus, fypシ゚viral, macklemore",original sound,2025-05-07 16:26:32,https://www.tiktok.com/@whyk4re/video/7501740738309279018
