video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url
7506266464253431071,5starr.bliq,“omg we nice” 🔥🤣 (dc:us) @: JACKIECHAN🙂‍↕️ #tripout #abcxyz #fypシ #newdance #bliq #viral #newdancechallenge #fouryoupage  #ripk2 ,121800,351,7833,597200,"tripout, abcxyz, fypシ, newdance, bliq, viral, newdancechallenge, fouryoupage, ripk2",original sound,2025-05-19 21:07:52,https://www.tiktok.com/@5starr.bliq/video/7506266464253431071
7505631622570478903,rapgodriley,#fyp #tiktok #coma #2018 ,228100,10300,15900,2600000,"fyp, tiktok, coma, 2018","Suspense, horror, piano and music box",2025-05-18 04:04:08,https://www.tiktok.com/@rapgodriley/video/7505631622570478903
7506968264204143918,thecommonsense.authority,If you're okay with any race of people being arbitrarily murdered you are pure evil and part of the problem! #trump #maga #southafrica #africa #whitehouse ,71000,7324,4678,950300,"trump, maga, southafrica, africa, whitehouse",Wind noise_ (movie title display sound)(389986),2025-05-21 18:31:11,https://www.tiktok.com/@thecommonsense.authority/video/7506968264204143918
7506601175534308650,babypodcastofficial,@Rhett & Link #podcast #babypodcast #funny ,60600,237,8897,647500,"podcast, babypodcast, funny",original sound,2025-05-20 18:47:11,https://www.tiktok.com/@babypodcastofficial/video/7506601175534308650
7501802099903089951,darian.wade.clips,why pizza shaped?!?! 😂🤷🏾‍♂️ #fyp #skits #cringe #millenialcore ,527500,3384,48100,3900000,"fyp, skits, cringe, millenialcore",Lil Phoebe x Melodica,2025-05-07 20:24:02,https://www.tiktok.com/@darian.wade.clips/video/7501802099903089951
7504575812016917782,its_cannyyy,#fyp #viral #perte ,570000,6189,519500,4400000,"fyp, viral, perte",NO SOUND,2025-05-15 07:47:04,https://www.tiktok.com/@its_cannyyy/video/7504575812016917782
7506595631042022686,mulletbros_co,YouTube: Mullet Bros Co,116600,216,9963,1200000,,original sound,2025-05-20 18:25:26,https://www.tiktok.com/@mulletbros_co/video/7506595631042022686
7505820504410950919,ksuuubebraa,АХАХХАХА сори,206100,332,19400,1700000,,dźwięk oryginalny,2025-05-18 16:17:05,https://www.tiktok.com/@ksuuubebraa/video/7505820504410950919
7507570429985574190,jayleenbytheway,😩😂 #relatable #complicated #fyp #streameruniversity #moveonho ,238100,892,10100,957900,"relatable, complicated, fyp, streameruniversity, moveonho",original sound,2025-05-23 09:31:00,https://www.tiktok.com/@jayleenbytheway/video/7507570429985574190
7506645146482773294,tara_rule,,109400,331,888,948500,,original sound,2025-05-20 21:37:47,https://www.tiktok.com/@tara_rule/video/7506645146482773294
7505151053936037150,erinharnick,love is everywhere!!,871100,1960,94400,3000000,,Kübla,2025-05-16 20:59:24,https://www.tiktok.com/@erinharnick/video/7505151053936037150
7506887500313513238,dylan.page,What do you guys think? 🤔,172800,3503,5962,1800000,,original sound,2025-05-21 13:17:34,https://www.tiktok.com/@dylan.page/video/7506887500313513238
7506650955065183534,independent_usa,"From his favourite meal, to his favourite president and plenty in-between, children visiting the White House as part of the Take Your Child to Work Day event got to know much more about US president Donald Trump. The children got to quiz White House press secretary Karoline Leavitt during a press briefing on Tuesday (20 May). One child asked if Mr Trump likes to give hugs, while another wanted to know what his favorite food is. One question that attracted plenty of attention was when a child asked how many people Trump had fired. Ms Leavitt was also asked what super power the US president would like to have and who is his favorite president, besides himself.",138400,2865,5868,2200000,,original sound,2025-05-20 22:00:16,https://www.tiktok.com/@independent_usa/video/7506650955065183534
7507300228488465710,yarahtori,I’ll redo this on my other account #classof2025 ,25800,204,896,200200,classof2025,The Man,2025-05-22 15:59:21,https://www.tiktok.com/@yarahtori/video/7507300228488465710
7507785608379616517,platanooficial_,Esta jueza intentó opacar a Chef en proceso sin saber que le darían una tremenda lección... #tiktokviral #fama #fyp #popular #viral_video #trendingvideo #juez #chef #leccion #masterchef,579300,2465,4639,6600000,"tiktokviral, fama, fyp, popular, viral_video, trendingvideo, juez, chef, leccion, masterchef",original sound - Platano Oficial,2025-05-23 23:22:42,https://www.tiktok.com/@platanooficial_/video/7507785608379616517
7506277928947240238,yahoosports,🤯🤯🤯 (via on3) #nfl #football #shedeursanders #nil #cfb #collegefootball #clevelandbrowns #coloradofootball ,54800,953,526,1100000,"nfl, football, shedeursanders, nil, cfb, collegefootball, clevelandbrowns, coloradofootball",i was only temporary,2025-05-19 21:52:39,https://www.tiktok.com/@yahoosports/video/7506277928947240238
7493965571390704939,ridiculousness_comp,Kids told their mum to shut up to see how dads react 😂 #funny #prank #funnyprank #pranksoftiktok #funnyvideos #funnytiktok #trynottolaugh #lol #haha #fyp #fypシ゚viral #fypシ ,2200000,8350,95000,30500000,"funny, prank, funnyprank, pranksoftiktok, funnyvideos, funnytiktok, trynottolaugh, lol, haha, fyp, fypシ゚viral, fypシ",original sound,2025-04-16 17:34:00,https://www.tiktok.com/@ridiculousness_comp/video/7493965571390704939
7507489748588514567,clubamerica,Que bonito cantan Águilas ❤️🦅 #tiktokdeportes #clubamerica ,442900,1453,23200,3100000,"tiktokdeportes, clubamerica",sonido original,2025-05-23 04:14:35,https://www.tiktok.com/@clubamerica/video/7507489748588514567
7505844516939697438,grace.elizabeth7,🤷‍♀️,27100,4,5836,291900,,original sound,2025-05-18 17:50:34,https://www.tiktok.com/@grace.elizabeth7/video/7505844516939697438
7498040453581786399,oh.its.aubs,Guys please laugh.. #real #relatable #foryoupage #foryou #fypシ #viral #trend ,216600,1058,7850,1400000,"real, relatable, foryoupage, foryou, fypシ, viral, trend",original sound,2025-04-27 17:06:52,https://www.tiktok.com/@oh.its.aubs/video/7498040453581786399
7505827572828212526,drizzzydreaaa,When your 5 year old insists on joining La Vibora de la Mar 😬,116400,131,16400,824900,,original sound,2025-05-18 16:45:05,https://www.tiktok.com/@drizzzydreaaa/video/7505827572828212526
7507050891590257966,pukingpumpkin717,The hate I see towards Kenzie simply for having a similar style to Tara is sad. Tara doesn’t own any style of clothing… yall just hate for no valid reason I swear. #pukingpumpkin717 #kenzieluby #tarayummy ,36700,347,70,212100,"pukingpumpkin717, kenzieluby, tarayummy",Rust,2025-05-21 23:51:45,https://www.tiktok.com/@pukingpumpkin717/video/7507050891590257966
7507691499664968991,woowopthoughts,They ready to quit 😭 @DDG ,42600,278,577,392300,,original sound,2025-05-23 17:17:48,https://www.tiktok.com/@woowopthoughts/video/7507691499664968991
7501821712737013023,.emelyrivas,Calling all big backs #crumbl,53500,536,2429,740100,crumbl,admire the perc,2025-05-07 21:39:59,https://www.tiktok.com/@.emelyrivas/video/7501821712737013023
7507864553527528735,jmssh.29,Like was la michoacana closed ??? 😭😭😭 #hispanic #latina #mexican #horchata ,92700,776,3272,561000,"hispanic, latina, mexican, horchata",sonido original,2025-05-24 04:29:22,https://www.tiktok.com/@jmssh.29/video/7507864553527528735
7506729614337789230,judeeanthony_,#relatable #fyp #foryoupage ,166400,544,19000,583400,"relatable, fyp, foryoupage",original sound,2025-05-21 03:05:01,https://www.tiktok.com/@judeeanthony_/video/7506729614337789230
7505269788696988970,nor1hy,"Nah this was not her first time turning the car on, no excuses🤣🤣",45700,338,7386,282200,,original sound,2025-05-17 04:41:14,https://www.tiktok.com/@nor1hy/video/7505269788696988970
7505558179422489861,stasy_girla,#rek #fyp #on #elbruso #boy ,230000,4510,33600,2400000,"rek, fyp, on, elbruso, boy",CryJaxx YAYA,2025-05-17 23:19:08,https://www.tiktok.com/@stasy_girla/video/7505558179422489861
7506527584105155845,capcuttemplates1105,NEW TEMPLATE  #CapCutTemplate #capcut_edit #fyp #foryoupage #trending #CapCut ,219300,669,2712,2900000,"capcuttemplate, capcut_edit, fyp, foryoupage, trending, capcut",suara asli - CapCut Templates,2025-05-20 14:00:56,https://www.tiktok.com/@capcuttemplates1105/video/7506527584105155845
7500225368859626783,nsheblink_,#megavolumelashes #lashextensions #lashes ,221600,2747,62200,3300000,"megavolumelashes, lashextensions, lashes",original sound,2025-05-03 14:25:24,https://www.tiktok.com/@nsheblink_/video/7500225368859626783
7506627657010826539,insensativecranberry,,82100,302,24300,365600,,original sound,2025-05-20 20:29:39,https://www.tiktok.com/@insensativecranberry/video/7506627657010826539
7506937096687553838,islahmuddinkumar,America Needs our Prayers… #prayer #secretserviceagent #unitedstates #neworleans #faith #vegas #fyp #foryou #foryoupage #fypシ #tiktok #storytime #tiktok #viral #greenscreen,17700,1002,2644,910300,"prayer, secretserviceagent, unitedstates, neworleans, faith, vegas, fyp, foryou, foryoupage, fypシ, tiktok, storytime, viral, greenscreen",original sound - islahmu,2025-05-21 16:30:13,https://www.tiktok.com/@islahmuddinkumar/video/7506937096687553838
7507254322422385951,disneyzombiesmovie,Fight for what you believe in. #ZOMBIES4: Dawn of the Vampires premieres July 10 on #DisneyChannel & next day on #DisneyPlus.,308000,6650,1984,17500000,"zombies4, disneychannel, disneyplus",original sound,2025-05-22 13:01:12,https://www.tiktok.com/@disneyzombiesmovie/video/7507254322422385951
7506556197600775466,lil_the_one6,we stay untouched 😁 #girls #funny #friends #fyp #trend #relatablecontent #xyzbca #fypviralシ #blowthisup #school,104700,2503,13700,444100,"girls, funny, friends, fyp, trend, relatablecontent, xyzbca, fypviralシ, blowthisup, school",original sound,2025-05-20 15:52:48,https://www.tiktok.com/@lil_the_one6/video/7506556197600775466
7506891645435022622,cactusproduceflowers2,,24900,1885,1047,298500,,Suspenseful and tense orchestra(1318015),2025-05-21 13:33:49,https://www.tiktok.com/@cactusproduceflowers2/video/7506891645435022622
7506197979104316718,deuce31k,Waist band method>> #eliteballknowledge ,302300,1310,66400,1500000,eliteballknowledge,original sound - sndonnies,2025-05-19 16:42:53,https://www.tiktok.com/@deuce31k/video/7506197979104316718
7506204105283505430,filimonovadrian,"Even without family around, there will be those who support you ❤️‍🩹 @derbruder.latvija ",764400,12300,7994,14700000,,In The End - Mellen Gi Remix,2025-05-19 17:05:37,https://www.tiktok.com/@filimonovadrian/video/7506204105283505430
7506579873276644639,montoyaivanaaa,#fyp #foryoupage #fypシ ,134500,184,8073,577200,"fyp, foryoupage, fypシ",El wiri wiri,2025-05-20 17:24:15,https://www.tiktok.com/@montoyaivanaaa/video/7506579873276644639
7505501386465955102,healthymasculinity1,The Whittaker Family Story - Joe Rogan,23100,90,660,319600,,original sound,2025-05-17 19:38:58,https://www.tiktok.com/@healthymasculinity1/video/7505501386465955102
7505917192890797342,strutnova,“You choose peace or you choose me” #briannaolsen #santos #inmatehopper ,33100,133,2685,238700,"briannaolsen, santos, inmatehopper",original sound,2025-05-18 22:32:30,https://www.tiktok.com/@strutnova/video/7505917192890797342
7506262886960975134,victoria.b__,that one was really yelling at me,131600,141,1349,1200000,,original sound,2025-05-19 20:54:04,https://www.tiktok.com/@victoria.b__/video/7506262886960975134
7507267173820189995,glamduchandmi,Be ready to rub our feet together 😭 #couple #viral #trending #relationship #relatable #fyp ,61000,150,22000,391900,"couple, viral, trending, relationship, relatable, fyp",original sound,2025-05-22 13:51:05,https://www.tiktok.com/@glamduchandmi/video/7507267173820189995
7506681488574876958,haygood84,Welcome to the real world ladies and gentleman ,315100,2278,34300,1400000,,original sound,2025-05-20 23:58:14,https://www.tiktok.com/@haygood84/video/7506681488574876958
