video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url
7505632585381465386,rulaempire,#fyp #viral #fypツ ,46400,305,395,593200,"fyp, viral, fypツ",original sound,2025-05-18 04:08:01,https://www.tiktok.com/@rulaempire/video/7505632585381465386
7506894163074419998,stayitk,#stayitk #itkskincare #stayitkskincare #skincare #skincare101 #glowingskin #skincaretiktok #holyairball #trends #esthetician #estheticianlife #fypage #fyppppppppppppppppppppppp ,72600,81,171,676400,"stayitk, itkskincare, stayitkskincare, skincare, skincare101, glowingskin, skincaretiktok, holyairball, trends, esthetician, estheticianlife, fypage, fyppppppppppppppppppppppp",ECE Marketing Airball,2025-05-21 13:43:31,https://www.tiktok.com/@stayitk/video/7506894163074419998
7505554551185952031,dollss_123,my laptop bugging so don't mind how bad I'm playing- #facecard #xyzcba #evade #robloxfyp #fypシ #trendingvideo #viralvideo #dontletthisflop ,28400,13900,934,574700,"facecard, xyzcba, evade, robloxfyp, fypシ, trendingvideo, viralvideo, dontletthisflop",Who am I,2025-05-17 23:05:17,https://www.tiktok.com/@dollss_123/video/7505554551185952031
7506529968466218245,milovveeee,,145900,428,7876,1200000,,swimming pools,2025-05-20 14:10:09,https://www.tiktok.com/@milovveeee/video/7506529968466218245
7506920280187620609,dvoeplay,Взломай код #games #игры #головоломка #умныеигры #braingames,182200,307,6193,4800000,,оригинальный звук - Наташа и Вова,2025-05-21 15:24:57,https://www.tiktok.com/@dvoeplay/video/7506920280187620609
7506522202737495339,guierzitk,#tiktok #movie #fyp #foryou,112800,1729,6833,6300000,,original sound - guierzitk,2025-05-20 13:41:08,https://www.tiktok.com/@guierzitk/video/7506522202737495339
7507398459822034207,tessapeay,Replying to @Bianca 💗 how do I fix the ends?? 😩 #ropebrajd #heatlesscurls #heatlesswaves  #heatlesshair #heatlesshairstyle  #longhair #protectivehairstyle #tessa #tessapeay #naturalcurls #mermaidhair #summerhair #beachhair #beachwaves #utah #utahhair #utahcurls ,157100,586,492,1900000,"ropebrajd, heatlesscurls, heatlesswaves, heatlesshair, heatlesshairstyle, longhair, protectivehairstyle, tessa, tessapeay, naturalcurls, mermaidhair, summerhair, beachhair, beachwaves, utah, utahhair, utahcurls",Shake It To The Max (FLY) (Remix),2025-05-22 22:20:27,https://www.tiktok.com/@tessapeay/video/7507398459822034207
7507361515016686890,br.rm,,118000,746,4990,639100,,Dame Tu Cosita,2025-05-22 19:57:10,https://www.tiktok.com/@br.rm/video/7507361515016686890
7506571354825608491,tee_.blah,He trynna manipadip me and its working smh😒😒😂😂😂 ima see yall there nocapp😂#greenscreen #masatour #nbayoungboy #tourtickets #presale #fypシ ,34600,494,3906,292200,"greenscreen, masatour, nbayoungboy, tourtickets, presale, fypシ",original sound,2025-05-20 16:51:38,https://www.tiktok.com/@tee_.blah/video/7506571354825608491
7505798142021930262,jules.nenfam,I'm not dissapointed I'm really happy! #fyp #fypシ゚ #foryoupage #fypnow #viralnow #trend #trending #goviral #letitgoviral #blowmeup #blowupthis #notenoughnelsons #nelsons #nenfam #nen #paisleejanenelson #paisleenelson #kennadeenelson #utahtok #utahtiktok #utah #edit,79000,12400,410,1700000,"fyp, fypシ゚, foryoupage, fypnow, viralnow, trend, trending, goviral, letitgoviral, blowmeup, blowupthis, notenoughnelsons, nelsons, nenfam, nen, paisleejanenelson, paisleenelson, kennadeenelson, utahtok, utahtiktok, utah, edit",original sound - ᶜ ʰ ˡ ˡ ˣ ᵉ ᵈ ⁱ ᵗ ˢ,2025-05-18 14:50:17,https://www.tiktok.com/@jules.nenfam/video/7505798142021930262
