video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url
7507058337306053934,orland.94,@Justin H 🥷🏻🖤 el es un cielo ,136700,2390,2731,1300000,,sonido original,2025-05-22 00:20:38,https://www.tiktok.com/@orland.94/video/7507058337306053934
7500952381652323626,only1bkk,,413900,780,35100,2100000,,original sound,2025-05-05 13:27:46,https://www.tiktok.com/@only1bkk/video/7500952381652323626
7506612818771430702,middleeasternnpc,#inmiddleeeasternnpcwetrust #jooooooooooooooooooooooooosh #fyp #foryou #famous #relateable #famous #govirsl #viral #smile,93900,2393,10200,824100,"inmiddleeeasternnpcwetrust, jooooooooooooooooooooooooosh, fyp, foryou, famous, relateable, govirsl, viral, smile",original sound,2025-05-20 19:32:14,https://www.tiktok.com/@middleeasternnpc/video/7506612818771430702
7505577949282782495,amiri.da,,223200,1478,28600,1500000,,original sound,2025-05-18 00:36:00,https://www.tiktok.com/@amiri.da/video/7505577949282782495
7507340965447781663,sammantha713,My poor curly hair 💔 #curlyhead #curls #curlscurlscurls #straighthair #foryoupage #paratii #trend #viral #newhairwhodis #curlssssssssss ,84500,64,598,580200,"curlyhead, curls, curlscurlscurls, straighthair, foryoupage, paratii, trend, viral, newhairwhodis, curlssssssssss",deuces,2025-05-22 18:37:20,https://www.tiktok.com/@sammantha713/video/7507340965447781663
7507031054218251563,alle4627,can he clean his room #room #boi #fyp #gf ,133500,375,10700,432100,"room, boi, fyp, gf",Kiss me Sixpence None The Richer,2025-05-21 22:34:48,https://www.tiktok.com/@alle4627/video/7507031054218251563
7505790474712583467,aaronparnas1,5/18,92200,4524,17500,907600,,original sound,2025-05-18 14:21:16,https://www.tiktok.com/@aaronparnas1/video/7505790474712583467
7505792379404750111,manucicilia,😂😂🤦🏻‍♂️  #contenido #paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii #fypage ,10600,0,5711,371500,"contenido, paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii, fypage",sonido original,2025-05-18 14:28:20,https://www.tiktok.com/@manucicilia/video/7505792379404750111
7506373100683021599,sol8ce_,"Oh lover, you should’ve come over.",231600,1219,7474,1200000,,"Lover, You Should've Come Over",2025-05-20 04:01:48,https://www.tiktok.com/@sol8ce_/video/7506373100683021599
7505988324398583070,kadencefrminsta,#fy #fyp ,74300,411,11500,282200,"fy, fyp",Be My Baby,2025-05-19 03:08:39,https://www.tiktok.com/@kadencefrminsta/video/7505988324398583070
