video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url
7494897865936866591,redclawscrabshack,that’s hot 🥵 #dallas #fortworthfoodie #dallasfoodie #dallaslovelist #fortworthlovelist #seafood #seafoodlover #seafoodboil #seafood #hotchicken #dfwseafood #dfwcrabshack #dfwhotchicken #happyhour ,241200,587,25200,5100000,"dallas, fortworthfoodie, dallasfoodie, dallaslovelist, fortworthlovelist, seafood, seafoodlover, seafoodboil, hotchicken, dfwseafood, dfwcrabshack, dfwhotchicken, happyhour",donk,2025-04-19 05:52:00,https://www.tiktok.com/@redclawscrabshack/video/7494897865936866591
7507439506786733355,jakeamaree,#graduation #classof2025 #fyp #viral #kyliejenner ,214600,318,4647,701900,"graduation, classof2025, fyp, viral, kyliejenner",3 Strikes,2025-05-23 01:00:04,https://www.tiktok.com/@jakeamaree/video/7507439506786733355
7507086470109318418,evgen020305,#бег  #пиво,135600,564,93700,1400000,"бег, пиво",оригинальный звук,2025-05-22 02:09:42,https://www.tiktok.com/@evgen020305/video/7507086470109318418
7505882444826955039,girlypopplaytime,@majinwill92 #girlypop #fyp ,457400,1623,36600,4000000,"girlypop, fyp",original sound,2025-05-18 20:17:40,https://www.tiktok.com/@girlypopplaytime/video/7505882444826955039
7508005683825085714,like.meli,Не парик ,138100,690,597,2100000,,оригинальный звук,2025-05-24 13:36:39,https://www.tiktok.com/@like.meli/video/7508005683825085714
7507260428574117150,chacondeeznutterz,,97500,1701,7766,462300,,original sound,2025-05-22 13:24:52,https://www.tiktok.com/@chacondeeznutterz/video/7507260428574117150
7507064836451323182,officialrayphillips,,152200,446,11600,689500,,original sound,2025-05-22 00:45:50,https://www.tiktok.com/@officialrayphillips/video/7507064836451323182
7506633043105533230,thelailacamillee,MHMMM 😭🔥@I3 ✨ dc:@Eŵay♠️🕸️ #foryoupage #fypシ #fypage #foryou #makemefamous #dance #funny #sinners #sisters #newtrend #blowthisup ,74500,253,1753,558000,"foryoupage, fypシ, fypage, foryou, makemefamous, dance, funny, sinners, sisters, newtrend, blowthisup",Pale Pale Moon Sinners Nola Bounce Mix,2025-05-20 20:50:46,https://www.tiktok.com/@thelailacamillee/video/7506633043105533230
7506719202456358190,daydrianharding,New hairdo 🔥🔥🔥,108800,1323,1112,636700,,original sound,2025-05-21 02:24:36,https://www.tiktok.com/@daydrianharding/video/7506719202456358190
7506701211630882091,lulu.inatutu,#top10 #ranking #ranked #rank #dumdum #lollipop #trending #blowthisup ,62300,2183,1039,1200000,"top10, ranking, ranked, rank, dumdum, lollipop, trending, blowthisup",original sound,2025-05-21 01:14:45,https://www.tiktok.com/@lulu.inatutu/video/7506701211630882091
