video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url
7506666385691430174,foundoutloud_,And the food still hasn’t made its way to the people ,121300,1507,5563,650900,,New Flame (but I promise you) (feat. Usher & Rick Ross),2025-05-20 22:59:45,https://www.tiktok.com/@foundoutloud_/video/7506666385691430174
7506968643733933343,callherdaddy,I would love to be on a beach with 90 dogs right about now… 😍 @Dr. Jane Goodall & JGI ,121900,285,5342,853900,,original sound,2025-05-21 18:32:34,https://www.tiktok.com/@callherdaddy/video/7506968643733933343
7505136643578400031,mazdaz95,Replying to @MEESHKA90 #dwightschrute #theoffice #jimhalpert follow for more! ,93200,173,21500,1100000,"dwightschrute, theoffice, jimhalpert",original sound,2025-05-16 20:03:28,https://www.tiktok.com/@mazdaz95/video/7505136643578400031
7507411832169057566,adampfaris,2 NFL players went to court over a jersey number?! 😳 #football #nflfootball #nfl ,25900,115,264,365800,"football, nflfootball, nfl",original sound,2025-05-22 23:12:19,https://www.tiktok.com/@adampfaris/video/7507411832169057566
7506507839909809413,usev.ua,#динаху ,117300,588,60700,1100000,динаху,оригинальный звук,2025-05-20 12:44:18,https://www.tiktok.com/@usev.ua/video/7506507839909809413
7506708969738603806,erikfnyc,#timesquare ,96600,2042,18000,1100000,timesquare,original sound,2025-05-21 01:44:52,https://www.tiktok.com/@erikfnyc/video/7506708969738603806
7505639611008388394,normacromwell0218,#tiktok #frp #foryou,35600,108,152,537800,"tiktok, frp, foryou",original sound - NormaCromwell0218,2025-05-18 04:35:42,https://www.tiktok.com/@normacromwell0218/video/7505639611008388394
7506618186956016926,leilla.xo,forever proud of being from cdmx #mexico #mexicana🇲🇽 ,85600,672,387,693200,"mexico, mexicana🇲🇽",ECE Marketing Airball,2025-05-20 19:52:46,https://www.tiktok.com/@leilla.xo/video/7506618186956016926
7507625718113651999,streameruniversityhq,#fyp #kaicenat #streameruniversity #trending #viral ,44500,203,1148,846400,"fyp, kaicenat, streameruniversity, trending, viral",original sound,2025-05-23 13:02:52,https://www.tiktok.com/@streameruniversityhq/video/7507625718113651999
7506626920390479146,cyra.crystals,incase you need a reminder😏 #astrologytiktok #spirtusltiktok ,126400,2458,4036,1600000,"astrologytiktok, spirtusltiktok",New Flame (but I promise you) (feat. Usher & Rick Ross),2025-05-20 20:27:05,https://www.tiktok.com/@cyra.crystals/video/7506626920390479146
7499050011129384210,lisasfashionfix,I personally don’t see it!!! #nickblaine #nickhandmaidstale #nickblaineedit #nickblaineedits #maxminghella #thehandmaidstale #handmaidtale #handmaidstale #juneandnick ,111800,1620,2260,2600000,"nickblaine, nickhandmaidstale, nickblaineedit, nickblaineedits, maxminghella, thehandmaidstale, handmaidtale, handmaidstale, juneandnick",original sound,2025-04-30 10:24:05,https://www.tiktok.com/@lisasfashionfix/video/7499050011129384210
7507416572315585822,alyshia.rushing,I was fed up today ngl ‼️🥴  #roomdecor #roomswitch #cleantok #cleaningtiktok #sahm #momlife #momtok #sahmlife #fyp ,63700,310,269,730600,"roomdecor, roomswitch, cleantok, cleaningtiktok, sahm, momlife, momtok, sahmlife, fyp",original sound,2025-05-22 23:30:42,https://www.tiktok.com/@alyshia.rushing/video/7507416572315585822
7506998705581477163,omomarie1,GENZ for the win every time ! For anybody who is struggling to remember heart sound locations 😂 #heartsounds #heartsoundlocations #aaronpierre #thatsmufasa #foryoupage #medicalstudent #medicalschool ,85300,463,10300,649700,"heartsounds, heartsoundlocations, aaronpierre, thatsmufasa, foryoupage, medicalstudent, medicalschool",original sound,2025-05-21 20:29:12,https://www.tiktok.com/@omomarie1/video/7506998705581477163
7507028241668951342,jasonnash,How ICEE Invented Blue Raspberries! #icee #7eleven #slushie ,29600,136,1189,489400,"icee, 7eleven, slushie",original sound,2025-05-21 22:23:48,https://www.tiktok.com/@jasonnash/video/7507028241668951342
7507073537795034399,blvck_bvrbieee,They pissed me off I looked at my sister like all them topping is crazyyyy with that lil bit of TUNA 😒😂 #foryoupage #fyp #baltimore #subway #whywouldyoudothat ,9952,301,158,377000,"foryoupage, fyp, baltimore, subway, whywouldyoudothat",original sound,2025-05-22 01:19:36,https://www.tiktok.com/@blvck_bvrbieee/video/7507073537795034399
7506622251312106774,stinky_cr,#clashroyale #clash #clashroyalememes #stinkycr #fyp #viral #blowthisup ,481000,1029,54100,3800000,"clashroyale, clash, clashroyalememes, stinkycr, fyp, viral, blowthisup",original sound,2025-05-20 20:08:14,https://www.tiktok.com/@stinky_cr/video/7506622251312106774
7506259130437422366,kendra.amani,I wonder y they changed that 😭 #viral #fypp #throwback #kendraamani #atlgirl ,26600,3678,933,219000,"viral, fypp, throwback, kendraamani, atlgirl",original sound,2025-05-19 20:39:29,https://www.tiktok.com/@kendra.amani/video/7506259130437422366
7507297709682904363,brookeschofield1,Don’t go shopping when you’re thirsty ,42300,180,232,455600,,original sound,2025-05-22 15:49:32,https://www.tiktok.com/@brookeschofield1/video/7507297709682904363
7507433717665729822,live.clipz42,"“damn, ggs bro”😭💔#jaycincoo #dabo #streameruniversity #fyp ",49100,229,3193,338200,"jaycincoo, dabo, streameruniversity, fyp",original sound,2025-05-23 00:37:26,https://www.tiktok.com/@live.clipz42/video/7507433717665729822
7507673457925229870,loco_chococoa,Daisy's Lover 💚 (Super Mario Animation Meme) #mario #nintendo,592400,3444,33000,3100000,"mario, nintendo",original sound,2025-05-23 16:08:15,https://www.tiktok.com/@loco_chococoa/video/7507673457925229870
7506070784977292600,faswratrer,#fyp #csgo ,141500,1041,77400,976900,"fyp, csgo",оригинальный звук,2025-05-19 08:28:23,https://www.tiktok.com/@faswratrer/video/7506070784977292600
7506236984298343726,woobaby1_,We have way more power over our reality than we know 🤣❤️ #fyp #foryoupage #fypシ #foryou #fypage #fyppp #woobaby #Foryoupage ,71200,703,8139,244500,"fyp, foryoupage, fypシ, foryou, fypage, fyppp, woobaby",original sound,2025-05-19 19:13:57,https://www.tiktok.com/@woobaby1_/video/7506236984298343726
7505989313457458478,luismetology,perhaps a salad? #buccadibeppo #fyp ,37700,91,4612,186200,"buccadibeppo, fyp",original sound,2025-05-19 03:12:39,https://www.tiktok.com/@luismetology/video/7505989313457458478
7505957022072917290,elle27614,this is being deleted. #airball ,102400,699,2000,657900,airball,ECE Marketing Airball,2025-05-19 01:07:17,https://www.tiktok.com/@elle27614/video/7505957022072917290
7506993524987071790,kanebizzell,#kanebizzell #fyp ,17700,396,6978,473000,"kanebizzell, fyp",nhạc nền,2025-05-21 20:09:11,https://www.tiktok.com/@kanebizzell/video/7506993524987071790
7506151324170325270,only.one.mara,Decisions decisions!!! #fyp #whowantstobeamillionaire #reactions #reactionvideo #money #healthcare #rent #adulting #ineedanswers #relatable #flights #decision ,16200,3292,2521,1100000,"fyp, whowantstobeamillionaire, reactions, reactionvideo, money, healthcare, rent, adulting, ineedanswers, relatable, flights, decision",original sound,2025-05-19 13:40:50,https://www.tiktok.com/@only.one.mara/video/7506151324170325270
7508105476928703775,bleacherreport,WHAT A PLAY BY BREANNA STEWART 😮 #wnba #basketball #breannastewart #caitlinclark ,56800,1355,944,1700000,"wnba, basketball, breannastewart, caitlinclark",original sound,2025-05-24 20:04:09,https://www.tiktok.com/@bleacherreport/video/7508105476928703775
7507689228084628782,itsqcp,Rainbow Pasta 🌈,66200,376,693,1400000,,original sound,2025-05-23 17:09:27,https://www.tiktok.com/@itsqcp/video/7507689228084628782
7506649331131370782,hannahg11,I love being a light packer 😍😍,30700,142,3049,341000,,Western Music: Arizona Dreaming,2025-05-20 21:53:39,https://www.tiktok.com/@hannahg11/video/7506649331131370782
7496318193758211359,bigs0f,,54000,45,93,274900,,orijinal ses,2025-04-23 01:43:32,https://www.tiktok.com/@bigs0f/video/7496318193758211359
7507473010836720927,espn,This sequence had EVERYTHING! #nbaplayoffs #nbaonespn #okc #thunder #sports #nba ,42600,423,544,1400000,"nbaplayoffs, nbaonespn, okc, thunder, sports, nba",losing,2025-05-23 03:09:50,https://www.tiktok.com/@espn/video/7507473010836720927
7507737522894638344,777_m.2,#foryou #fyp #viral_video #schoollife #trending #fyp #viral_video #,107800,878,2598,905900,"foryou, fyp, viral_video, schoollife, trending",Get Me Out Of Here (Just For Now),2025-05-23 20:16:08,https://www.tiktok.com/@777_m.2/video/7507737522894638344
7506370610948279582,queenbontop,,184500,1435,7829,727500,"vale, jordan, valeandjordan, valeandbriolsen, teambri, santana, backseatbandit, doordashing",LET HER COOK,2025-05-20 03:52:04,https://www.tiktok.com/@queenbontop/video/7506370610948279582
7505621837418679582,ballerinacapuchinaspam,yk it #foryoupage #fypシ #fyp #xyzbca #curlyhair #bestfriend #whiteboys ,190800,3649,15200,700100,"foryoupage, fypシ, fyp, xyzbca, curlyhair, bestfriend, whiteboys",DomeShuffle,2025-05-18 03:26:25,https://www.tiktok.com/@ballerinacapuchinaspam/video/7505621837418679582
7506757454462553386,perfectlytaj,Why she start swimming😂 #viral #funny #prank ,48700,653,11600,259000,"viral, funny, prank",original sound,2025-05-21 04:53:07,https://www.tiktok.com/@perfectlytaj/video/7506757454462553386
7506288791242493227,_samanthajo_,ITS TIME TO CLEAN OUR HOUSE SO WE CAN ACTUALLY FUNCTION 🧽🫧🧼#newmom #firsttimemom #cleanwithme #sundayreset #comedy #satisfyingcleaning #cleaning #postpartum #postpartumjourney #sahm ,154600,768,438,806200,"newmom, firsttimemom, cleanwithme, sundayreset, comedy, satisfyingcleaning, cleaning, postpartum, postpartumjourney, sahm",original sound,2025-05-19 22:34:49,https://www.tiktok.com/@_samanthajo_/video/7506288791242493227
7507324615639829791,nflonfox,Jayden Daniels wasn’t having any of it 😂 (via @Seli) #nfl #funny #goodnight #washingtoncommanders #commanders #jaydendaniels #samhartman #football ,154400,637,13700,1700000,"nfl, funny, goodnight, washingtoncommanders, commanders, jaydendaniels, samhartman, football",original sound,2025-05-22 17:33:54,https://www.tiktok.com/@nflonfox/video/7507324615639829791
7499548000398740782,tsefiks,"видимо она пас, вот отстой👎👎 @kira🕷🔻 ",153500,899,53200,1500000,,оригинальный звук,2025-05-01 18:37:06,https://www.tiktok.com/@tsefiks/video/7499548000398740782
7506374497419709738,taylor.demp,LITTLE SPOUSE IS OUT NOW!!!🥹🤍,61300,333,936,592400,,Little Spouse,2025-05-20 04:07:36,https://www.tiktok.com/@taylor.demp/video/7506374497419709738
7507792645779901727,nic1966,Any bad jawns hit up ya boy😂🤞🏽,346200,13300,278000,1700000,,original sound,2025-05-23 23:50:14,https://www.tiktok.com/@nic1966/video/7507792645779901727
7504876869414685995,johndoe6956,,134200,721,42000,492700,,original sound,2025-05-16 03:16:05,https://www.tiktok.com/@johndoe6956/video/7504876869414685995
7500977392739994910,storytimenyc,Divorce revenge coming in the form of an incredible bacon egg and cheese ,79700,346,2470,903100,,original sound,2025-05-05 15:03:53,https://www.tiktok.com/@storytimenyc/video/7500977392739994910
7506656905146731819,indianafever,Caitlin Clark signing autographs & taking selfies with fans ahead of tonight's game ✍️🤳 #wnba #indianafever #caitlinclark ,108000,1802,1207,1300000,"wnba, indianafever, caitlinclark",original sound,2025-05-20 22:23:26,https://www.tiktok.com/@indianafever/video/7506656905146731819
7506540411452755231,letspartychica,crying I love all my clients! 🥹 #graduation #grad #2025,36500,15,1271,197800,"graduation, grad, 2025",original sound,2025-05-20 14:51:07,https://www.tiktok.com/@letspartychica/video/7506540411452755231
