video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url
7505092978554195243,ohmygawd.mo,Since yall sooo confused… I only like hearing the updates from Mona ,142800,1586,220,929200,,original sound,2025-05-16 17:14:02,https://www.tiktok.com/@ohmygawd.mo/video/7505092978554195243
7507437091882650922,cadefitz42,#holyairball #usps #fyp #foryoupage #foryou #trending #viral #mailman,352300,1808,25200,1100000,"holyairball, usps, fyp, foryoupage, foryou, trending, viral, mailman",ECE Marketing Airball,2025-05-23 00:50:51,https://www.tiktok.com/@cadefitz42/video/7507437091882650922
7495206863361953067,harlsjoo,Did this to make my boyfriend laugh. Guess you can watch it too,229700,718,52000,2100000,,original sound,2025-04-20 01:51:13,https://www.tiktok.com/@harlsjoo/video/7495206863361953067
7507376119671262494,tacoslosdelaesquina,"Cuando el antojo es más grande que tú, caile a Tacos Los De La Esquina por unos ricos tacos de suadero 🥵  📍6155 s Easter Ave, Commerce CA 90040 📍 1401 Alameda St, Los Angeles, CA 90021  #tacoslosdelaesquina #fpy #tacosalcarbon #commerce #citadel #mexicanfood #paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii #tacos #food #20k #eastLA #suadero ",33600,505,5735,838800,"tacoslosdelaesquina, fpy, tacosalcarbon, commerce, citadel, mexicanfood, paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii, tacos, food, 20k, eastla, suadero",sonido original,2025-05-22 20:53:45,https://www.tiktok.com/@tacoslosdelaesquina/video/7507376119671262494
7507107572839697681,kantarosurosu,今まででいちばん恥ずかしい,662400,3595,52100,3200000,,original sound,2025-05-22 03:31:39,https://www.tiktok.com/@kantarosurosu/video/7507107572839697681
7505415944785743146,cbsmornings,"An intense manhunt is underway for seven of the ten inmates considered ""armed and dangerous"" who escaped a New Orleans jail on Friday. Authorities say the men removed a toilet from the wall and escaped through a hole left behind.  #inmates #neworleans #escape #news ",143500,1966,11200,3500000,"inmates, neworleans, escape, news",original sound,2025-05-17 14:08:09,https://www.tiktok.com/@cbsmornings/video/7505415944785743146
7507756723642518830,halfmoonchild96,Inspired by @Koa Bear and Luna Fish! P.S. She is very sassy! #australianshepherd #aussie #dog #funny #cute #dogmom #aussiemom #prettylittlebaby ,91500,469,7774,527700,"australianshepherd, aussie, dog, funny, cute, dogmom, aussiemom, prettylittlebaby",Pretty Little Aussie,2025-05-23 21:31:18,https://www.tiktok.com/@halfmoonchild96/video/7507756723642518830
7505109200956181790,briandshay,She’s alright🥹Follow for more Bria + Shay content! #fyppppppppppppppppppppppp #fyp #auntd81 #briaandshay #viral #trending #autism #mentalhealthmatters #autismoftiktok #foryou #autismawareness #repost #fy #mentalhealth #blowthisup #meme #funny #auntd #bria #shay #arianagrandeshirt #calmdown #shayandbria #nonverbalautism #preverbalautism #fyp #seizure ,537300,6543,26600,4700000,"fyppppppppppppppppppppppp, fyp, auntd81, briaandshay, viral, trending, autism, mentalhealthmatters, autismoftiktok, foryou, autismawareness, repost, fy, mentalhealth, blowthisup, meme, funny, auntd, bria, shay, arianagrandeshirt, calmdown, shayandbria, nonverbalautism, preverbalautism, seizure",original sound,2025-05-16 18:16:58,https://www.tiktok.com/@briandshay/video/7505109200956181790
7507422187633134890,lordcaribbean,Simple soft men’s makeup that you can wear on the daily. #mensmakeup #mensmakeuptips #beauty ,51000,948,16600,1000000,"mensmakeup, mensmakeuptips, beauty",Talk to me.,2025-05-22 23:53:00,https://www.tiktok.com/@lordcaribbean/video/7507422187633134890
7507040973168364856,name.lessi,"In August of 2023, 24-year-old Emmanuel Lidden from Sydney, Australia, was arrested for attempting to collect every element on the periodic table--including radioactive ones. His quest led him to import a small sample of plutonium from a U.S. science website, violating Australia's Nuclear Non-Proliferation Act. The incident triggered a major hazmat response at his parents home, involving multiple emergency services. Lidden pleaded guilty and faced a possible sentence of up to 10 years in prison. #history #storytelling #science #viral  #trending #news #australia #breakingbad  #didvouknowwthat  #whatif #DidYouKnow #fyp ",104400,2388,4651,1400000,"history, storytelling, science, viral, trending, news, australia, breakingbad, didvouknowwthat, whatif, didyouknow, fyp",Terminator 2 (Judgement Day),2025-05-21 23:13:07,https://www.tiktok.com/@name.lessi/video/7507040973168364856
7506677445991402783,hollywoodnoahh,#hollywoodnoah #billybadass ,44500,475,1626,378700,"hollywoodnoah, billybadass",Subwoofer Lullaby,2025-05-20 23:42:33,https://www.tiktok.com/@hollywoodnoahh/video/7506677445991402783
7506693582862994730,cantfwbignas_,DC:@Eŵay♠️🕸️  @NAS | FL | 727 | ✈️💰☀️🏝️ @sexyghurl_nece ,45800,4106,2780,987600,,Pale Pale Moon Sinners Nola Bounce Mix,2025-05-21 00:45:11,https://www.tiktok.com/@cantfwbignas_/video/7506693582862994730
