video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url
7495867561767226666,funnybone148,#adulthumor⚠️ #foryou #fyp #skit #comedytiktok #funny #foryoupage #funnyvideos ,612600,5329,44200,6200000,"adulthumor⚠️, foryou, fyp, skit, comedytiktok, funny, foryoupage, funnyvideos",original sound,2025-04-21 20:35:23,https://www.tiktok.com/@funnybone148/video/7495867561767226666
7506252727115369774,forallmythoughts,i will be in a pool idc #fyp #foryou #summer,424300,1077,49900,1300000,"fyp, foryou, summer",Originalton,2025-05-19 20:15:13,https://www.tiktok.com/@forallmythoughts/video/7506252727115369774
7504796376799268126,j.u.a.nnnnnyy,I’m cleaning out my playlist relax #jesus #christiantiktok #jesuslovesyou ,76800,518,2671,239500,"jesus, christiantiktok, jesuslovesyou",original sound,2025-05-15 22:02:59,https://www.tiktok.com/@j.u.a.nnnnnyy/video/7504796376799268126
7501756766120725802,aurionaj,#fyp #foryoupage #metgala #metgala2024 #metgala2025 #billieeilish ,788600,5264,11000,7200000,"fyp, foryoupage, metgala, metgala2024, metgala2025, billieeilish",original sound,2025-05-07 17:28:45,https://www.tiktok.com/@aurionaj/video/7501756766120725802
7503722659113405718,venttt.17,#mentalhealth #mentalhealthmatters #dols #section2 #section3 #ppo #arrested #missing #misper #carekid #teir4 #camhsunit #camhs #psychwards #eupd #aspd #cptsd #adhd #substanceabuseawareness #policecustody #saawareness #rapeawarness ❤️‍🩹,80800,212,422,1300000,"mentalhealth, mentalhealthmatters, dols, section2, section3, ppo, arrested, missing, misper, carekid, teir4, camhsunit, camhs, psychwards, eupd, aspd, cptsd, adhd, substanceabuseawareness, policecustody, saawareness, rapeawarness",wish you were gay,2025-05-13 00:36:40,https://www.tiktok.com/@venttt.17/video/7503722659113405718
7506216844148133150,kylerich.91,holyfckinairball#fyp #fypシ #trend #cat #foryoupage #killa ,165300,456,11500,1000000,"fyp, fypシ, trend, cat, foryoupage, killa",ECE Marketing Airball,2025-05-19 17:55:24,https://www.tiktok.com/@kylerich.91/video/7506216844148133150
7505356140335598870,kleinedits,#joostklein #käärijä #tommycash #foryou ,369600,441,13000,1900000,"joostklein, käärijä, tommycash, foryou",i am fckin crazy,2025-05-17 10:15:05,https://www.tiktok.com/@kleinedits/video/7505356140335598870
7506424377324440878,grimes.magill,#thehandmaidstale #fypシ #tiktok #fouryou #fouryou ,111200,3690,1992,2200000,"thehandmaidstale, fypシ, tiktok, fouryou",original sound,2025-05-20 07:22:02,https://www.tiktok.com/@grimes.magill/video/7506424377324440878
7506957334229372182,arslannapositive,"Вот она — настоящая ценность: помогать своим родным, ухаживать за тем, что выращено своими руками.",186600,9427,105400,4600000,,Pieces (Solo Piano Version),2025-05-21 17:48:31,https://www.tiktok.com/@arslannapositive/video/7506957334229372182
7507018999301950766,olitzshowww,#BELLAMYYOUNG #TONYGOLDWYN #SCANDALABC #FITZGERALDGRANT  #MELLIEGRANT | Man man man they kiss more in real life then they did in scandal 😭😭,56000,800,6121,437800,"bellamyyoung, tonygoldwyn, scandalabc, fitzgeraldgrant, melliegrant",WTHELLY,2025-05-21 21:47:56,https://www.tiktok.com/@olitzshowww/video/7507018999301950766
7506505594224872734,weenie.bo.beanie5,A daily occurrence with him#fyp #dachshund #weenidog #doxiesoftiktok #doxie #minidachshundsoftiktok #sideeye #puppy ,113200,540,23000,640800,"fyp, dachshund, weenidog, doxiesoftiktok, doxie, minidachshundsoftiktok, sideeye, puppy",original sound,2025-05-20 12:36:03,https://www.tiktok.com/@weenie.bo.beanie5/video/7506505594224872734
7506134684766702870,mimimp,we love a fully aware queen ,256200,731,23200,1800000,,undressed,2025-05-19 12:36:16,https://www.tiktok.com/@mimimp/video/7506134684766702870
7507363648055053599,pollyann_campollo,,167900,1258,5114,750700,,Yellow Hearts by Ant Saunders,2025-05-22 20:05:20,https://www.tiktok.com/@pollyann_campollo/video/7507363648055053599
7507319817855077654,avijanetareal,,81300,398,3657,1200000,,оригинальный звук,2025-05-22 17:15:08,https://www.tiktok.com/@avijanetareal/video/7507319817855077654
7506239495877004551,mista237,,291000,623,21900,2100000,,оригинальный звук,2025-05-19 19:23:02,https://www.tiktok.com/@mista237/video/7506239495877004551
7497842998579858696,lisa_banks_,Am I the new flattest ,57700,148,360,764500,,original sound,2025-04-27 04:20:18,https://www.tiktok.com/@lisa_banks_/video/7497842998579858696
7505420944018509078,21go03,#fyp #real #uno #dog #goviral #viralvideos #relatable #views #lol,342100,1564,126900,1800000,"fyp, real, uno, dog, goviral, viralvideos, relatable, views, lol",son original,2025-05-17 14:26:33,https://www.tiktok.com/@21go03/video/7505420944018509078
7505465092935519534,itsmejay507,#meme #fypシ #asthonhall #nfl #nfldraft @TheWeenieWarrior @msdy @streamer_clipz_56 @Jaytotuff @￶ proud of u ,63700,382,3203,536300,"meme, fypシ, asthonhall, nfl, nfldraft",Over My Dead Body,2025-05-17 17:18:34,https://www.tiktok.com/@itsmejay507/video/7505465092935519534
7507262813316861206,postuniteduos,⚔️🔥 LAMINE YAMAL VS MESSI CON @JOAANPU❤️⚽️ #tiktokfootballacademy #deportesentiktok ,129300,2424,859,3000000,"tiktokfootballacademy, deportesentiktok",Eu Quero Tchu Eu Quero Tcha,2025-05-22 13:33:58,https://www.tiktok.com/@postuniteduos/video/7507262813316861206
7506276654633864494,ferlozanosolis,Mejor en Ciencia este año! Te amo mi niño ♡,23100,253,6930,826300,,sonido original,2025-05-19 21:47:45,https://www.tiktok.com/@ferlozanosolis/video/7506276654633864494
7505755892227296542,valeria.stern23,#fyp#тренд,217100,446,24100,1100000,"fyp, тренд",оригинальный звук,2025-05-18 12:07:16,https://www.tiktok.com/@valeria.stern23/video/7505755892227296542
7506648193489243422,frmda302,#hashtag #fypシ ,385500,1721,41700,1700000,"hashtag, fypシ",sonido original,2025-05-20 21:49:11,https://www.tiktok.com/@frmda302/video/7506648193489243422
7506030104368270635,love4theferia,,25500,76,1547,218400,,Somebody by Latto,2025-05-19 05:51:57,https://www.tiktok.com/@love4theferia/video/7506030104368270635
7503214422421245226,nfl,legend continues 👏 #travishunter #nfl #jacksonvillejaguars  (via Sandy Hawkins Combs/FB + TravisDHolmes/X) ,393600,863,8907,2100000,"travishunter, nfl, jacksonvillejaguars",Killswitch Lullaby,2025-05-11 15:44:37,https://www.tiktok.com/@nfl/video/7503214422421245226
7506272597970242862,socloudyyt,Did they not? #fyp #childhood #koolaid #nostalgia #juice #2000s ,60200,1044,654,824600,"fyp, childhood, koolaid, nostalgia, juice, 2000s",Frank Heffley,2025-05-19 21:32:14,https://www.tiktok.com/@socloudyyt/video/7506272597970242862
7506201029491330346,rauld33,Are you trying out this season? #cheer #tryouts,106200,112,165,984300,"cheer, tryouts",original sound,2025-05-19 16:54:34,https://www.tiktok.com/@rauld33/video/7506201029491330346
7505983803467369758,deez82210,Airballlll #holyfknairball ,148300,1340,2402,729600,holyfknairball,ECE Marketing Airball,2025-05-19 02:50:57,https://www.tiktok.com/@deez82210/video/7505983803467369758
7505402821756390687,podcast.rewindd,#shawnjohnson #shawnjohnsoneast #shawnandandreweast #motherhood #couplegoals #podcastclips #couplestiktok #marriage #pregnancy ,54200,1199,1040,772600,"shawnjohnson, shawnjohnsoneast, shawnandandreweast, motherhood, couplegoals, podcastclips, couplestiktok, marriage, pregnancy",original sound,2025-05-17 13:16:45,https://www.tiktok.com/@podcast.rewindd/video/7505402821756390687
7505989569175670071,karime.hurtubise,GUYS THIS IS ALMOST AT 7 million views!! #onthisday #makeupfails #makeupartist ,56100,205,340,1400000,"onthisday, makeupfails, makeupartist",original sound,2025-05-19 03:13:13,https://www.tiktok.com/@karime.hurtubise/video/7505989569175670071
7506301424427633966,tbcrabtree,And kids…..That’s how i met your mother. #reddirtmusic#duet#fyp #softlaunch#linemanwife,66800,1104,24900,1000000,"reddirtmusic, duet, fyp, softlaunch, linemanwife",My Love Mine All Mine,2025-05-19 23:23:58,https://www.tiktok.com/@tbcrabtree/video/7506301424427633966
7505192583425969454,_dijahhh_,Anyone looking for a DJ for their kids bday parties? My niece is now taking bookings #dj #girldj #viral #fyp @Future ,376900,1970,66600,1500000,"dj, girldj, viral, fyp",original sound,2025-05-16 23:41:01,https://www.tiktok.com/@_dijahhh_/video/7505192583425969454
7506662124815519022,willbertt.a,#fyp ,160200,2891,14600,647700,fyp,sonido original,2025-05-20 22:43:33,https://www.tiktok.com/@willbertt.a/video/7506662124815519022
7506548983188196639,erikalynnsimon,Thanks @Hinge 🖤 #hingedating #couplestiktok #dating ,70800,435,3988,676500,"hingedating, couplestiktok, dating",It Girl,2025-05-20 15:24:21,https://www.tiktok.com/@erikalynnsimon/video/7506548983188196639
