video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url
7507097279686298911,carlos_eduardo_espina,Están poniéndole multas millonarias a los inmigrantes 😳🇺🇸,42100,2069,7672,1100000,,original sound,2025-05-22 02:51:57,https://www.tiktok.com/@carlos_eduardo_espina/video/7507097279686298911
7506295188965444895,user683992791078,#jesuslovesyou #funny #joke #summer ,131500,438,1291,509700,"jesuslovesyou, funny, joke, summer",original sound,2025-05-19 22:59:24,https://www.tiktok.com/@user683992791078/video/7506295188965444895
7505826588815002911,user2846483659,i’m so atl  | eyeblack tutorial is up |#fyp #softball #baseball #funny #goviral #relatable #repost #jly ,61700,330,621,245700,"fyp, softball, baseball, funny, goviral, relatable, repost, jly",Im So ATL,2025-05-18 16:40:56,https://www.tiktok.com/@user2846483659/video/7505826588815002911
7506296548519578926,nycfoodhurtmywallet,"The team behind Le Dive, The Nines and Deux Chats just opened the cutest Milan style spritz bar! 🍹💚✨ #aperolspritz #nyc #newyorkcity #newyork #nycbars #nycrestaurants #barbianchinyc #barbianchi #ledive #thenines #nycdrinks #nycsummer #spritz ",56800,156,17400,519800,"aperolspritz, nyc, newyorkcity, newyork, nycbars, nycrestaurants, barbianchinyc, barbianchi, ledive, thenines, nycdrinks, nycsummer, spritz",PARTY 4 U x NEVER BE LIKE YOU,2025-05-19 23:05:03,https://www.tiktok.com/@nycfoodhurtmywallet/video/7506296548519578926
7507284657419848982,davisuuarez2,Hable con Fabrizio Romano de Lamine Yamal y el Real Madrid 😱 #tiktokfootballacademy #humor ,405400,4413,13800,4000000,"tiktokfootballacademy, humor",sonido original,2025-05-22 14:58:42,https://www.tiktok.com/@davisuuarez2/video/7507284657419848982
7506096246638103815,eessavibe,,1200000,11300,210900,9700000,,original sound,2025-05-19 10:07:06,https://www.tiktok.com/@eessavibe/video/7506096246638103815
7506091018907847941,_mashkinsz_,#блондинка #fyp #рек ,162900,297,1980,1200000,"блондинка, fyp, рек",оригинальный звук,2025-05-19 09:46:54,https://www.tiktok.com/@_mashkinsz_/video/7506091018907847941
7507346876338064686,adamightspam,the wind is blowing me away ho #newengland #mass #funny #massachusetts #boston #fyp #relatable #real #weather #goviral #viral #famous ,62900,836,3283,273000,"newengland, mass, funny, massachusetts, boston, fyp, relatable, real, weather, goviral, viral, famous",original sound,2025-05-22 19:00:21,https://www.tiktok.com/@adamightspam/video/7507346876338064686
7505445619419417886,poison_ivy_dolls,I just can’t get enough of these! 🖤 Can you name them all?                                                             #monsterhigh #skullector #skullectordolls #monsterhighdolls #monsterhighshoes #mymattelcreations #monsterhighalumni @MattelCreations @Monster High ,286400,422,4729,1400000,"monsterhigh, skullector, skullectordolls, monsterhighdolls, monsterhighshoes, mymattelcreations, monsterhighalumni",Nightmare,2025-05-17 16:02:36,https://www.tiktok.com/@poison_ivy_dolls/video/7505445619419417886
7506517553406086446,melissa162620,#thinkin #about #you ,16600,745,26100,667100,"thinkin, about, you",Día del padre,2025-05-20 13:22:55,https://www.tiktok.com/@melissa162620/video/7506517553406086446
7506674622801169710,angelaalvrd1,GRACIAS DIOS🥹🙏🏼.. Bienvenido mi príncipe 🩵 #partonatural #partonormal #cesarea #pregnant #embarazo #bebeencamino #deliveryboy #embarazada #newborn #virall #fypシ #parati ,101400,940,7308,2800000,"partonatural, partonormal, cesarea, pregnant, embarazo, bebeencamino, deliveryboy, embarazada, newborn, virall, fypシ, parati",sonido original,2025-05-20 23:31:34,https://www.tiktok.com/@angelaalvrd1/video/7506674622801169710
7505743572600180014,keoshakraze,Good morning ! ,69500,207,630,614500,,original sound,2025-05-18 11:20:34,https://www.tiktok.com/@keoshakraze/video/7505743572600180014
7507397788645379374,thirtycrabs,And they’re bad at both                                                  #sketchcomedy #fyp #music #country #rap #hiphop #funny #meme,131100,2112,7085,893200,"sketchcomedy, fyp, music, country, rap, hiphop, funny, meme",original sound,2025-05-22 22:17:57,https://www.tiktok.com/@thirtycrabs/video/7507397788645379374
7506561126843338015,lilybchapman,Grwm to get married ,43800,182,134,477500,,original sound,2025-05-20 16:11:35,https://www.tiktok.com/@lilybchapman/video/7506561126843338015
7501393163278372127,christian.yelich,,379900,855,4850,3800000,,original sound,2025-05-06 17:57:20,https://www.tiktok.com/@christian.yelich/video/7501393163278372127
7505585741599231262,getyamoneyllc,This is how I went from a 432 to a 750+ in months ... And I didn't have páy anyone to do it for me! #finance #creditcoach #foryou #creditlaws #money #credit #fyp #collection #collections #investing #financialeducation #creditrepair #c#creditrepairhelpd#debtc#creditrepairservice s|#learnwithtiktokf#fixyourcreditcredithelp ,34500,417,2034,429700,"finance, creditcoach, foryou, creditlaws, money, credit, fyp, collection, collections, investing, financialeducation, creditrepair, c, creditrepairhelpd, debtc, creditrepairservice, learnwithtiktokf, fixyourcreditcredithelp",original sound,2025-05-18 01:06:19,https://www.tiktok.com/@getyamoneyllc/video/7505585741599231262
