video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url
7501202294436891947,user1027348329,yea no that last one will take 10 years off your life😀 #fypシ #real #relatable #imissyou,96400,429,2014,463400,"fypシ, real, relatable, imissyou",9,2025-05-06 05:37:19,https://www.tiktok.com/@user1027348329/video/7501202294436891947
7507000976826436907,rap4life70,#quotes #relatable #inrapwetrust #viralvideo #real #real #xybca #abcxyz ,11100,53300,633,1100000,"quotes, relatable, inrapwetrust, viralvideo, real, xybca, abcxyz",original sound,2025-05-21 20:38:01,https://www.tiktok.com/@rap4life70/video/7507000976826436907
7506940233821228310,hyoga.x,good thing I used to have long hair ✨@SHEGLAM @Sheglam.hair #SHEGLAM #SHEGLAMHAIR #sheglam24kglow #SHEGLAMStraighteningBrush,487100,3433,23100,4400000,"sheglam, sheglamhair, sheglam24kglow, sheglamstraighteningbrush",original sound,2025-05-21 16:42:10,https://www.tiktok.com/@hyoga.x/video/7506940233821228310
7506187608632986922,shakemy.ash,Diddy is NOT impressed with his team !!! #trialwatch #liveupdates #courtroom #diddytrial #kerrymorgan #diddydoit #diddy #diddiot #shakemyash #cassie #hotmic ,62200,1626,1785,1800000,"trialwatch, liveupdates, courtroom, diddytrial, kerrymorgan, diddydoit, diddy, diddiot, shakemyash, cassie, hotmic",original sound,2025-05-19 16:02:42,https://www.tiktok.com/@shakemy.ash/video/7506187608632986922
7506106456257711368,bt.tbk,"Нужное в тгк, ссыл в шапке🤝",43100,162,11300,385700,,оригинальный звук,2025-05-19 10:46:43,https://www.tiktok.com/@bt.tbk/video/7506106456257711368
7506439688387890462,brecken2222,,138900,606,4484,532500,,smoke and a light,2025-05-20 08:20:52,https://www.tiktok.com/@brecken2222/video/7506439688387890462
7507335799386541354,brittanyalvarezz,britthebarber😛#fyp #bayarea ,63300,55,730,347200,"fyp, bayarea",original sound,2025-05-22 18:17:23,https://www.tiktok.com/@brittanyalvarezz/video/7507335799386541354
7506989821697592618,notburnttoasthehe,Us every morning ib: @Katie ,51000,285,350,653000,,original sound,2025-05-21 19:54:49,https://www.tiktok.com/@notburnttoasthehe/video/7506989821697592618
7505604106657041710,abbyliciousss2.0,thank you to all the people that made this possible for me💕lmk if you want to see the rest of the dance🤗 #mychoreo #assembly #dance #hispanic #culturalappreciation #fyp #2025 ,206000,1420,4352,1200000,"mychoreo, assembly, dance, hispanic, culturalappreciation, fyp, 2025",original sound,2025-05-18 02:17:42,https://www.tiktok.com/@abbyliciousss2.0/video/7505604106657041710
7506021655156641070,miguelhdz1983,#nomames ,14800,3885,6582,980400,nomames,"Suspense, horror, piano and music box",2025-05-19 05:18:31,https://www.tiktok.com/@miguelhdz1983/video/7506021655156641070
7505304319768481055,icm_triplets,Dc:@foginme  #thewayiare #timbaland #triplets #smooth #slide #trend #fyp #dance ,433800,866,8436,4600000,"thewayiare, timbaland, triplets, smooth, slide, trend, fyp, dance",original sound,2025-05-17 06:54:56,https://www.tiktok.com/@icm_triplets/video/7505304319768481055
7505185016327015710,hearts4jadis,#fypシ゚viral #science #scienceclass ,127000,1181,13600,433000,"fypシ゚viral, science, scienceclass",Right Thru Me,2025-05-16 23:11:08,https://www.tiktok.com/@hearts4jadis/video/7505185016327015710
7506716798398532907,abc15arizona,It's not something that happens very often: a high school senior getting a bachelor's degree before their high school diploma. One Valley student is celebrating that honor this week! ABC15's Elenee Dao spoke with the grad 🎓,98300,753,9600,602000,,original sound,2025-05-21 02:15:16,https://www.tiktok.com/@abc15arizona/video/7506716798398532907
7504835669605305646,robkingjr,,1500000,5378,431700,7000000,,original sound,2025-05-16 00:35:56,https://www.tiktok.com/@robkingjr/video/7504835669605305646
7506236970545286430,truman_pink0,So flattering on💝 #babydolltops #hollister #hollisterhaul #haul #foryoupage #hollistersummer ,129600,352,9119,600100,"babydolltops, hollister, hollisterhaul, haul, foryoupage, hollistersummer",The peak of pop music,2025-05-19 19:13:32,https://www.tiktok.com/@truman_pink0/video/7506236970545286430
7506977285421993262,gray.braswell3,and i think she’s pretty ,47700,56,48,292000,,skinny by billie eilish,2025-05-21 19:06:05,https://www.tiktok.com/@gray.braswell3/video/7506977285421993262
7506846974033874206,ndjebehenejendk,#trending #DIY #fypシ #fyp,17100,240,300,510300,"trending, diy, fypシ, fyp",original sound,2025-05-21 10:40:28,https://www.tiktok.com/@ndjebehenejendk/video/7506846974033874206
7506840066648493343,thenewsmovement,"Harris Dickinson's directorial debut is a criticism of the homelessness crisis in the UK, and during his time premiering the movie in Cannes he wore a T-shirt that @'d former home secretary Suella Braverman. #harrisdickinson #cannesfilmfestival #cannesfilmfestival2025 #urchin #urchinmovie #urchinfilm #homelessness #homeless #uk #government ",156000,243,3709,1100000,"harrisdickinson, cannesfilmfestival, cannesfilmfestival2025, urchin, urchinmovie, urchinfilm, homelessness, homeless, uk, government",i was only temporary,2025-05-21 10:13:37,https://www.tiktok.com/@thenewsmovement/video/7506840066648493343
