video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url
7501734403249524014,zoink.s,i ♥️ ny,473600,335,1363,4600000,,Pretty Little Baby - Stereo Mix,2025-05-07 16:01:05,https://www.tiktok.com/@zoink.s/video/7501734403249524014
7505661366615723310,khorrr2x,cereal #cereal #frostedflakes #cinnamontoastcrunch #top5 #ranking #littlebites #fyp ,101700,11200,4656,928400,"cereal, frostedflakes, cinnamontoastcrunch, top5, ranking, littlebites, fyp",I Know What I Want,2025-05-18 06:00:22,https://www.tiktok.com/@khorrr2x/video/7505661366615723310
7507751332200074527,scotty.k.fitness,When my brother laughs ❤️‍🩹 #brother #wesley #autism #healing #hope #happy #gamingpc #love #family #communtiy #happiness #change #gaming #gamer #innerchild #geralt #thewitcher ,232600,3058,3517,1200000,"brother, wesley, autism, healing, hope, happy, gamingpc, love, family, communtiy, happiness, change, gaming, gamer, innerchild, geralt, thewitcher",original sound,2025-05-23 21:09:55,https://www.tiktok.com/@scotty.k.fitness/video/7507751332200074527
7507517352335002888,itgirlenergy00,Catherine Paiz taking about plant medicine #catherinepaiz #acefamily #austinmcbroom #mermaid #youtubefamily #spirituality #plantmedicine #youtubefamily #catherinemcbroom #storytimes ,250300,5892,31700,2700000,"catherinepaiz, acefamily, austinmcbroom, mermaid, youtubefamily, spirituality, plantmedicine, catherinemcbroom, storytimes",original sound,2025-05-23 06:01:42,https://www.tiktok.com/@itgirlenergy00/video/7507517352335002888
7507192338108665118,cyyc6918,#tiktok #fpy #foryou #tvshow #movie ,25500,106,47,515500,"tiktok, fpy, foryou, tvshow, movie",original sound,2025-05-22 09:00:39,https://www.tiktok.com/@cyyc6918/video/7507192338108665118
7507120683818765598,only1hof,Rookie mistake… #fyp #reaction #animals #fights #wilddog (twitch-only1hof),234500,751,25300,1500000,"fyp, reaction, animals, fights, wilddog",original sound,2025-05-22 04:22:52,https://www.tiktok.com/@only1hof/video/7507120683818765598
7505987754900163895,lasbarrigonasrd,#paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii #barrigonasrd #tiktok #viral_video ,315000,1594,55200,1600000,"paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii, barrigonasrd, tiktok, viral_video",sonido original,2025-05-19 03:06:09,https://www.tiktok.com/@lasbarrigonasrd/video/7505987754900163895
7507644252713913646,michaelcroft6,Jokes #texas #austin #fyp #medicaldevice ,50300,1242,5184,384400,"texas, austin, fyp, medicaldevice",original sound,2025-05-23 14:16:33,https://www.tiktok.com/@michaelcroft6/video/7507644252713913646
7507388961711475999,bry.the.man.75,Straight up Facts. #maga #republican #democrat #lgbtq #facts #usa #donaldtrump #obama #fact #fyp #fypシ #blm ,108700,8204,3369,700100,"maga, republican, democrat, lgbtq, facts, usa, donaldtrump, obama, fact, fyp, fypシ, blm",New Flame (but I promise you) (feat. Usher & Rick Ross),2025-05-22 21:43:31,https://www.tiktok.com/@bry.the.man.75/video/7507388961711475999
7506876914007641387,fruitydumpsterxoxo,Give me a job,49700,319,1986,625000,,ECE Marketing Airball,2025-05-21 12:36:41,https://www.tiktok.com/@fruitydumpsterxoxo/video/7506876914007641387
7507441130032696618,gbillz,Not letting that slide.,25500,281,3799,328300,,เสียงต้นฉบับ - Am,2025-05-23 01:06:35,https://www.tiktok.com/@gbillz/video/7507441130032696618
7507514883030699306,anastasiya_shpagi,,152300,547,1483,1000000,,оригинальный звук,2025-05-23 05:53:22,https://www.tiktok.com/@anastasiya_shpagi/video/7507514883030699306
7507145689202216235,shop.with.caroline,@Kris please tell us who this magical doctor is you look insane good 🔥 #lookgoodfeelgood #motivation #krisjenner #plasticsurgery #facelift ,167800,2283,2605,3200000,"lookgoodfeelgood, motivation, krisjenner, plasticsurgery, facelift",original sound,2025-05-22 06:01:02,https://www.tiktok.com/@shop.with.caroline/video/7507145689202216235
7507483333195009311,jeydahkiss,,186500,1078,19200,537500,,original sound,2025-05-23 03:49:57,https://www.tiktok.com/@jeydahkiss/video/7507483333195009311
7506311368442760494,davdlifts,Six eggs six ways @Jennifer Ngo #davidngo #mukbang #pov ,68100,1160,2149,2900000,"davidngo, mukbang, pov",original sound,2025-05-20 00:02:14,https://www.tiktok.com/@davdlifts/video/7506311368442760494
7507658980542418222,cashdabo,Dabo said it LOUD AND CLEAR🤣 #Dabo #trending #viral #fyp #fyyyyyyyyyyyyyyyyyyy #trend #teige2k ,26900,68,327,217800,"dabo, trending, viral, fyp, fyyyyyyyyyyyyyyyyyyy, trend, teige2k",Villager,2025-05-23 15:12:00,https://www.tiktok.com/@cashdabo/video/7507658980542418222
7507716226399948040,dimasblog,Кому-нибудь вообще редкий выпадал? ,126700,528,2637,1400000,,оригинальный звук,2025-05-23 18:53:29,https://www.tiktok.com/@dimasblog/video/7507716226399948040
7505999717071899935,mateo_6492,Daumn Bru 😭 #fypppppppppppppp #blowthisup #vibes #friends #funny #mrbeast #fazerug #ishowspeedclipz ,70100,360,9613,751800,"fypppppppppppppp, blowthisup, vibes, friends, funny, mrbeast, fazerug, ishowspeedclipz",Nun Major,2025-05-19 03:52:49,https://www.tiktok.com/@mateo_6492/video/7505999717071899935
7507063075179154719,taylorjamesschultz,Part 2- Taylor bought a used couch on Facebook Marketplace and it went as expected #facebookmarketplace #couch #urine #poop #millennial #fyp #unqualified #diy #roots #geuxtigers #firsttimehomebuyer ,36200,2302,2628,616200,"facebookmarketplace, couch, urine, poop, millennial, fyp, unqualified, diy, roots, geuxtigers, firsttimehomebuyer",original sound,2025-05-22 00:38:56,https://www.tiktok.com/@taylorjamesschultz/video/7507063075179154719
7507827278475283754,11shaig,No greens fo me #datenight #novegetables #foodfail #couplegoals #hediditforlove #tiktokcouple #foodiefails ,126200,222,22200,822700,"datenight, novegetables, foodfail, couplegoals, hediditforlove, tiktokcouple, foodiefails",original sound - .,2025-05-24 02:04:55,https://www.tiktok.com/@11shaig/video/7507827278475283754
7507443870402153758,annmarie.mm,NFL cheer whisk edition #whiskchalenge #whisk #blueshirtguy ,48300,487,402,1100000,"whiskchalenge, whisk, blueshirtguy",original sound,2025-05-23 01:16:49,https://www.tiktok.com/@annmarie.mm/video/7507443870402153758
7507291622481186090,.shhsupersecretspam,#fyp ,48300,344,1772,369700,fyp,original sound,2025-05-22 15:26:00,https://www.tiktok.com/@.shhsupersecretspam/video/7507291622481186090
7507776179789696287,maarkeithh,Graduation 2.0,97700,594,1551,390700,,original sound,2025-05-23 22:46:18,https://www.tiktok.com/@maarkeithh/video/7507776179789696287
7507029907722128686,raquelolsson,"5 green flags, coming from a people watcher 🤖",72100,295,1098,624800,,original sound,2025-05-21 22:30:17,https://www.tiktok.com/@raquelolsson/video/7507029907722128686
7507734526509174062,fusetv,"The Fuse Media family is heartbroken by the loss of one of our own, Devon. His spirit, humor, and presence will be deeply missed. We are so grateful to have shared in his and Freedia’s love story. 🧡 Our deepest love and condolences go out to Freedia and to the Hurst and Ross families. Devon will always hold a special place in our hearts. May he rest in peace.",42300,367,676,364100,,original sound - Fuse,2025-05-23 20:05:11,https://www.tiktok.com/@fusetv/video/7507734526509174062
7505495553120161070,yoursecret.diary,nun of the girls in this video is me !! . #secretaccount #fypシ #loveyou #filters #tiktok ,395400,393,4581,2400000,"secretaccount, fypシ, loveyou, filters, tiktok",som original,2025-05-17 19:16:35,https://www.tiktok.com/@yoursecret.diary/video/7505495553120161070
7505213885432089887,wedgeguys,Will we ever beat 42 seconds?!? #golf #wedgeguys #fypシ #golftok #viral #videoviral #videoviralitiktok #tiktokshop #tiktok #golfproduct #golfgrips #trend ,18400,47,128,1100000,"golf, wedgeguys, fypシ, golftok, viral, videoviral, videoviralitiktok, tiktokshop, tiktok, golfproduct, golfgrips, trend",original sound,2025-05-17 01:03:23,https://www.tiktok.com/@wedgeguys/video/7505213885432089887
7507714629141941550,callmekellycali,#newyorker #rain #may #spring #springweather #cold #days #soup #fyp #2025 #memorialdayweekend #memorialday #funny #notfunny #buffalo ,34200,3648,15400,436400,"newyorker, rain, may, spring, springweather, cold, days, soup, fyp, 2025, memorialdayweekend, memorialday, funny, notfunny, buffalo",original sound,2025-05-23 18:48:01,https://www.tiktok.com/@callmekellycali/video/7507714629141941550
7499265950533897478,yk_william_,,354400,6088,67900,2500000,,original sound,2025-05-01 00:22:05,https://www.tiktok.com/@yk_william_/video/7499265950533897478
7507806808325492011,fforeverclips,🫡🫡 #fyp #foryoupage #trending #viral #random #xyzbca #streameruniversity #indialove #kaicenat @Kai Cenat @Indialove ,254800,1154,2928,1300000,"fyp, foryoupage, trending, viral, random, xyzbca, streameruniversity, indialove, kaicenat",i miss your warm hands,2025-05-24 00:45:15,https://www.tiktok.com/@fforeverclips/video/7507806808325492011
7507343123433917742,baller6454,"5 trucks, 2 were shrouds. #trending #viral #foryoupage #fyp #dance ",118400,386,2262,606500,"trending, viral, foryoupage, fyp, dance",Want To Love - Just Raw,2025-05-22 18:45:45,https://www.tiktok.com/@baller6454/video/7507343123433917742
7507036585330822456,letsjustseaofficial,[Angela🐰] Katseye - Gnarly Quick Chorus Tutorial #katseye #gnarly #kpopdance #dancetutorial ,192900,467,2781,2200000,"katseye, gnarly, kpopdance, dancetutorial",original sound,2025-05-21 22:56:06,https://www.tiktok.com/@letsjustseaofficial/video/7507036585330822456
7507841983558323499,its.parkermartin,Love them both but I just didn’t see that coming #foryou #jessiemurph #sexyyred ,37200,59,1164,373800,"foryou, jessiemurph, sexyyred",original sound,2025-05-24 03:02:04,https://www.tiktok.com/@its.parkermartin/video/7507841983558323499
7506164680503741727,pagesix,"Influencer Emilie Kiser is mourning the heartbreaking loss of her 3-year-old son, who died after a drowning incident in Arizona. 💔 Trigg, the toddler son of the TikTok star, died days after he was found unresponsive in a swimming pool at the family’s home, according to the Chandler Police Department. 📸: Instagram",26200,415,1126,1100000,,original sound - Page Six,2025-05-19 14:33:16,https://www.tiktok.com/@pagesix/video/7506164680503741727
7507104852049218858,notcarmenowen,"i just wanted to do the trend, mixing the glosses and oil made it such a good consistency. i put it in my car to use so i didnt just have a small lipgloss in there. @Summer Fridays @Gisou  ##trend##haloglow##elf##lipgloss",35800,204,353,852900,"trend, haloglow, elf, lipgloss",get high 2,2025-05-22 03:21:37,https://www.tiktok.com/@notcarmenowen/video/7507104852049218858
7507598667671571714,kringe.doggy,,112100,1399,17500,1500000,,оригинальный звук,2025-05-23 11:17:16,https://www.tiktok.com/@kringe.doggy/video/7507598667671571714
7505895171087797526,masxd_07,#masxd07 ,513000,9402,344100,2500000,masxd07,2real,2025-05-18 21:06:49,https://www.tiktok.com/@masxd_07/video/7505895171087797526
7507364508386463006,ayiahsoufi_,@🤍🐻‍❄️LEI LEI🐻‍❄️🤍  #fyp #dance #glowhouse ,122100,685,777,905800,"fyp, dance, glowhouse",original sound,2025-05-22 20:08:40,https://www.tiktok.com/@ayiahsoufi_/video/7507364508386463006
7505131534240779566,mariahdhairl,"GOAL: $1,000 CURRENT: $98 I’m just a girl who wants to feel what it’s like to do something completely unrelated to motherhood. Once a year and I’ll be happy because it’s been 5 years of full time mommy and wife mode… nothing else. Who is Mariah… I don’t even know.  Sometimes I get lucky on monetizing my videos, but it’s not regular. ESPECIALLY this month. So you know what to do. Your service is appreciated 🫶🏼",515900,58900,63200,2000000,,original sound,2025-05-16 19:43:40,https://www.tiktok.com/@mariahdhairl/video/7505131534240779566
7507325898379562271,polerinaemilia,Name worse duo 🥹,28000,254,4086,295900,,original sound,2025-05-22 17:38:51,https://www.tiktok.com/@polerinaemilia/video/7507325898379562271
