video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url
7507471654344264967,chofis3357,🥰#valeriamarquez #justia ,88500,0,1041,3300000,"valeriamarquez, justia",Volveré - El Tren Que Nos Separa,2025-05-23 03:04:22,https://www.tiktok.com/@chofis3357/video/7507471654344264967
7505609391668874526,space2clo,#chocolate #ranking ,76300,3467,1499,889700,"chocolate, ranking",Testimony,2025-05-18 02:38:05,https://www.tiktok.com/@space2clo/video/7505609391668874526
7507877287140822303,justjazzzyidk,I love my people @halley @Kian ,105000,146,7453,957600,,Linger,2025-05-24 05:18:49,https://www.tiktok.com/@justjazzzyidk/video/7507877287140822303
7505381356839439638,cutecatvideoslovecats,I would hate to be a Norwegian man,72200,582,384,779700,,Vril,2025-05-17 11:52:56,https://www.tiktok.com/@cutecatvideoslovecats/video/7505381356839439638
7507453218503412997,hypestroy,Интересно получилось😸 #mellstroy #меллстрой ,94100,139,4140,1400000,"mellstroy, меллстрой",оригінальний звук,2025-05-23 01:52:51,https://www.tiktok.com/@hypestroy/video/7507453218503412997
7506906200282254623,thewokemama,"Going onto an anti🖤 podcast to talk about how your supporters weren’t anti🖤 despite that it’s well documented that both supporters AND the campaign were anti🖤 is wild. If that’s your king, then wow.",22900,3452,260,389500,,wacced out murals,2025-05-21 14:30:14,https://www.tiktok.com/@thewokemama/video/7506906200282254623
7502252165914840351,unknown1230875,so boring 😕  #relatable #foryouuu #fypシ #fypppp #virall #viralvideo #boringlife #makemefamous #afterschoolroutine #draining ,431600,1025,8289,1900000,"relatable, foryouuu, fypシ, fypppp, virall, viralvideo, boringlife, makemefamous, afterschoolroutine, draining",original sound,2025-05-09 01:30:21,https://www.tiktok.com/@unknown1230875/video/7502252165914840351
7505122587819838766,eidorian25,Vader will soon know the way. #Fortnite #Vader #VaderAI #fyp,256800,753,99800,1300000,"fortnite, vader, vaderai, fyp",original sound - Adrian,2025-05-16 19:08:56,https://www.tiktok.com/@eidorian25/video/7505122587819838766
7506658461988424965,kennas.crystals.co,Let’s not make assumptions about people and state them as fact 💞💋 #lipfiller #nativeamerican ,61600,824,107,430800,"lipfiller, nativeamerican",Chopin Nocturne No. 2 Piano Mono,2025-05-20 22:28:49,https://www.tiktok.com/@kennas.crystals.co/video/7506658461988424965
7505442027119693086,biggest.cowboys.f,#hood #fazerug #carpete ,28700,732,1758,631000,"hood, fazerug, carpete",original sound,2025-05-17 15:48:39,https://www.tiktok.com/@biggest.cowboys.f/video/7505442027119693086
7506198064869149994,_ericabrooke_,Just saw this and it honestly broke my heart 💔 my whole world #momlife #momtok #momof4 #fypシ #perspective #workingmom #sahm ,48400,539,14400,483600,"momlife, momtok, momof4, fypシ, perspective, workingmom, sahm",take a moment to breathe.,2025-05-19 16:42:48,https://www.tiktok.com/@_ericabrooke_/video/7506198064869149994
7506035172639280430,chjcddr,#tiktok #satisfying,18300,32,122,400000,"tiktok, satisfying",original sound - user6619440661237,2025-05-19 06:40:00,https://www.tiktok.com/@chjcddr/video/7506035172639280430
7506287367779765550,drinksouthsides,#drinktok #cocktail #drinking #happyhour ,289300,820,142500,1900000,"drinktok, cocktail, drinking, happyhour",original sound,2025-05-19 22:29:22,https://www.tiktok.com/@drinksouthsides/video/7506287367779765550
7505638845514304775,faith.andcassie,funfact a car pulled over and we got chased after filming this. #fyp #duo ,150500,656,11000,562800,"fyp, duo",Black Betty - Single Edit,2025-05-18 04:32:07,https://www.tiktok.com/@faith.andcassie/video/7505638845514304775
7498423509702462762,iheldontillma,,69900,229,356,592000,,Bunna Summa,2025-04-28 17:53:09,https://www.tiktok.com/@iheldontillma/video/7498423509702462762
