video_id,author,description,likes,comments,shares,plays,hashtags,music,create_time,video_url
7504378744832822574,inainamarie,#sweat #saunasuit #sweatshirt #gym #summer #juicy #stairmaster ,14200,320,2143,405000,"sweat, saunasuit, sweatshirt, gym, summer, juicy, stairmaster",You know you bad when you can pose from any angle,2025-05-14 19:02:28,https://www.tiktok.com/@inainamarie/video/7504378744832822574
7507100282636061998,yabbydabbyfit,I miss him a lot lately and think this story is pretty cool ❤️‍🩹  #fyp ,74500,1091,1201,1100000,fyp,original sound,2025-05-22 03:03:48,https://www.tiktok.com/@yabbydabbyfit/video/7507100282636061998
7507057161781103878,dhiegoone,Lover her #lordemusic #chappellroan #lorde ,92800,481,1240,648800,"lordemusic, chappellroan, lorde",Man Of The Year,2025-05-22 00:15:57,https://www.tiktok.com/@dhiegoone/video/7507057161781103878
7507198243651030314,bxby_nanyy,#karen #karensgoingwild #karensoftiktok #fyp #fypシ #viral #viralvideo ,17000,159,641,395700,"karen, karensgoingwild, karensoftiktok, fyp, fypシ, viral, viralvideo",original sound,2025-05-22 09:23:39,https://www.tiktok.com/@bxby_nanyy/video/7507198243651030314
7507271085231066399,chasin_chester,"You heard it, right? 🤔 #dogsoftiktok #goldenretriever ",142100,954,36700,1000000,"dogsoftiktok, goldenretriever",New Flame (In The Style of Chris Brown) (Instrumental Version),2025-05-22 14:06:13,https://www.tiktok.com/@chasin_chester/video/7507271085231066399
7508108136092405035,theclipstudiox,No way Kai just KICKED OUT  Wendy Ortiz after what just  happened with his security 🤯 #wendyortiz #eveortiz #kaicenat ,79300,271,596,1200000,"wendyortiz, eveortiz, kaicenat",world of basic people,2025-05-24 20:15:02,https://www.tiktok.com/@theclipstudiox/video/7508108136092405035
7507554735524728094,seenthatclip,Rakai is on BT this time around 😭 #fyp #foryou #trending #tiktok #streameruniversity #viral ,55800,183,920,814000,"fyp, foryou, trending, tiktok, streameruniversity, viral",Get Streched,2025-05-23 08:27:47,https://www.tiktok.com/@seenthatclip/video/7507554735524728094
7505263727919238442,justmeagain2356,#the sky is alive,216100,12900,40500,1900000,the,original sound,2025-05-17 04:17:08,https://www.tiktok.com/@justmeagain2356/video/7505263727919238442
7507289130582150430,plussizegymbestie,,36200,6852,89,950300,,original sound,2025-05-22 15:16:11,https://www.tiktok.com/@plussizegymbestie/video/7507289130582150430
7507726432513183022,drewwscottt,we both fairies 🧚 #fyp #viral #fairy ,82900,152,1359,809200,"fyp, viral, fairy",original sound,2025-05-23 19:33:37,https://www.tiktok.com/@drewwscottt/video/7507726432513183022
7507750804447710506,bekahgarcia.mov,Did the creators watch the original?? Do they know what live action they were making?  • #liloandstitch #disney #liloandstitchliveaction #animation ,14500,549,1961,323600,"liloandstitch, disney, liloandstitchliveaction, animation",naked and jacking it in san diego,2025-05-23 21:08:27,https://www.tiktok.com/@bekahgarcia.mov/video/7507750804447710506
7504728464625257774,thereallightskinmonte,IM TOO GROOVY😂😂🕺🏻,440600,2914,108400,3000000,,original sound,2025-05-15 17:39:33,https://www.tiktok.com/@thereallightskinmonte/video/7504728464625257774
7507542156010196254,incidentkrsk,"⚡️Милана Хаметова попала в ДТП под Красноярском Блогерша и певица Милана Хаметова попала в автомобильную аварию на трассе Красноярск — Кемерово. Автомобиль, в котором находилась артистка, столкнулся с машиной пьяного водителя, выехавшего на встречную полосу.  По словам Миланы, основной удар пришёлся на машину с её танцорами и звукорежиссёром. Водитель певицы сумел избежать серьёзных последствий благодаря оперативной реакции и ремням безопасности. К счастью, никто из пассажиров не получил серьёзных травм. Об этом сообщил Mash Siberia",59000,4180,17000,1500000,,memories,2025-05-23 07:39:08,https://www.tiktok.com/@incidentkrsk/video/7507542156010196254
7508120562020044078,cbssports,"When you know, you know ",109700,198,2556,820700,,original sound,2025-05-24 21:02:57,https://www.tiktok.com/@cbssports/video/7508120562020044078
7507385270103280938,msaliciaandco,We just have to make it a few more days 😩I refuse to buy new pants before August 😩a little flooding never hurt… it builds character ,19600,1291,2557,213800,,We Gonna Make It,2025-05-22 21:29:24,https://www.tiktok.com/@msaliciaandco/video/7507385270103280938
7507442135243803934,carew_ellington,,155300,489,890,726300,,back to friends by sombr drops Dec 27,2025-05-23 01:10:02,https://www.tiktok.com/@carew_ellington/video/7507442135243803934
7507284317760965919,sophia._cali,Heavy on the last one #fyp #labubu #butteryellow ,160300,1563,1120,716400,"fyp, labubu, butteryellow",Rocket Man (I Think It's Going To Be A Long Long Time) - Remastered,2025-05-22 14:57:34,https://www.tiktok.com/@sophia._cali/video/7507284317760965919
7505912139261971718,car4eee,#lamineyamal #f #barcelona #fyp ,472700,1706,6591,5300000,"lamineyamal, f, barcelona, fyp",Y Que Fue?,2025-05-18 22:12:40,https://www.tiktok.com/@car4eee/video/7505912139261971718
7507356675129527560,starostina_yuliya_,Добейте мне 3к подписчиков 💋💋💋,340700,1462,34600,2400000,,оригинальный звук - музыка для липсингов,2025-05-22 19:38:12,https://www.tiktok.com/@starostina_yuliya_/video/7507356675129527560
7507770867653381406,jayloncapuano,How to properly take your motorcycle off of a rear tire stand 🤣 #motorcycle ,87200,425,1726,3700000,motorcycle,original sound,2025-05-23 22:25:44,https://www.tiktok.com/@jayloncapuano/video/7507770867653381406
7505242773621181738,theclipstudiox,Lalo started CRYING after realizing  his career might be OVER after he got KO’d in the 1st round 💔🥺 #lalo #mexican #boxing ,188600,843,7685,3500000,"lalo, mexican, boxing",original sound,2025-05-17 02:55:44,https://www.tiktok.com/@theclipstudiox/video/7505242773621181738
7507444625657941290,detected101,"clean, bright, and impossible to miss #rave #edm #totem #raveedc #edc #neon #neonopensign #opensign #open #totemrave #ravetotem #ravetotems ",94800,58,540,640700,"rave, edm, totem, raveedc, edc, neon, neonopensign, opensign, open, totemrave, ravetotem, ravetotems",CHRYSTAL THE DAYS NOTION REMIX,2025-05-23 01:20:08,https://www.tiktok.com/@detected101/video/7507444625657941290
7507374290174545170,devochkaraia,Парковка каблуков ,195000,109,70500,1300000,,оригинальный звук,2025-05-22 20:46:36,https://www.tiktok.com/@devochkaraia/video/7507374290174545170
7507049943044066591,.denise_222,🧎🏻‍♀️bruhhh #fyp #fypシ #foryoupage #streameruniversity #funnymike ,244000,288,1437,1100000,"fyp, fypシ, foryoupage, streameruniversity, funnymike",original sound,2025-05-21 23:48:00,https://www.tiktok.com/@.denise_222/video/7507049943044066591
7507836201877916970,leorealtoks,,95200,1857,1220,922900,,original sound,2025-05-24 02:39:36,https://www.tiktok.com/@leorealtoks/video/7507836201877916970
7507111083736419615,jo.elyy,on gangg 👎🏽#fypシ #relatable #xbyzca ,84400,101,2143,283800,"fypシ, relatable, xbyzca",Bad Kids,2025-05-22 03:45:33,https://www.tiktok.com/@jo.elyy/video/7507111083736419615
7507067001701944606,allanthedoll,Hi Melissa ☺️ #vanillamace ,244700,369,9901,904500,vanillamace,original sound,2025-05-22 00:54:10,https://www.tiktok.com/@allanthedoll/video/7507067001701944606
7500932213177961759,danielduro069,Funniest “You can’t park here”Moments!#fyp #ranking #youcantparkthere #prank #viral ,78500,258,10000,1500000,"fyp, ranking, youcantparkthere, prank, viral",original sound,2025-05-05 12:08:59,https://www.tiktok.com/@danielduro069/video/7500932213177961759
7507424376984177962,kassielynn20,,31800,548,800,260800,,original sound,2025-05-23 00:01:26,https://www.tiktok.com/@kassielynn20/video/7507424376984177962
7504758727120096554,erikaxpriscilla,😭,457000,2574,35300,3000000,,original sound,2025-05-15 19:36:59,https://www.tiktok.com/@erikaxpriscilla/video/7504758727120096554
7507311941359029547,pepequintanilla1289,#homedepot #behr #behrpro #behrpaint #discounts #ahorra #dinero #aqui #usando #esta #cuenta #fyp ,45000,375,9618,651000,"homedepot, behr, behrpro, behrpaint, discounts, ahorra, dinero, aqui, usando, esta, cuenta, fyp",sonido original,2025-05-22 16:44:49,https://www.tiktok.com/@pepequintanilla1289/video/7507311941359029547
7507043089211641134,jasiahle,,400500,1835,23100,2200000,,Swim,2025-05-21 23:21:28,https://www.tiktok.com/@jasiahle/video/7507043089211641134
7505097388298751262,nyla_064,very very unfortunate 😂😂 #tallgirlfitness #oneractive @Oner Active dc ‘Nyla’,153400,1394,5102,892000,"tallgirlfitness, oneractive",Get Down On It Hoodtrap,2025-05-16 17:31:09,https://www.tiktok.com/@nyla_064/video/7505097388298751262
7506810687620910358,ihateverymf,@Wybieme?¿ <33 #secrethandshake ,355400,4013,71500,1700000,secrethandshake,original sound,2025-05-21 08:19:30,https://www.tiktok.com/@ihateverymf/video/7506810687620910358
7502236381888990506,clipstream049,Jack Doherty new girlfriend show the real side of him 😱❤️ #fyp #viral #real #jackdoherty @Jack Doherty ,18700,52,118,637700,"fyp, viral, real, jackdoherty",original sound,2025-05-09 00:28:59,https://www.tiktok.com/@clipstream049/video/7502236381888990506
7503676661733477678,eatcowandcheese,"Golden crinkle fries, made fresh and fried to order, taking a dive into that rich, house-made beer cheese. Your order is always made right when you order it at Cow & Cheese, and you can taste that quality in every crispy, cheesy bite. #foodgasm #smashburgers #fries #beercheese #orlando #maitland m",220000,1111,14700,2200000,"foodgasm, smashburgers, fries, beercheese, orlando, maitland",Promiscuous Girl Remix,2025-05-12 21:38:27,https://www.tiktok.com/@eatcowandcheese/video/7503676661733477678
7507543110508039480,_zhansaya_maratova_,❤️,328100,1031,25200,3600000,,оригинальный звук,2025-05-23 07:41:42,https://www.tiktok.com/@_zhansaya_maratova_/video/7507543110508039480
7505371814995021074,todayinpopmusicnews,No cause I would do the same if I was Chappell #finneas #billieeilish #tatemcrae #morganwallen #lorde #chappellroan #popculturenews #popmusicnews ,66100,637,822,1000000,"finneas, billieeilish, tatemcrae, morganwallen, lorde, chappellroan, popculturenews, popmusicnews",Addison June 6th,2025-05-17 11:15:54,https://www.tiktok.com/@todayinpopmusicnews/video/7505371814995021074
7507335653848321310,abbyotto,#budgeting #unhinged #savingmoney #advice #foreverhome,29100,3191,404,840600,"budgeting, unhinged, savingmoney, advice, foreverhome",nhạc nền - anh_anh,2025-05-22 18:16:44,https://www.tiktok.com/@abbyotto/video/7507335653848321310
7507281922083573023,batmitzvahtheme69,Missed the opportunity to just enjoy it fml Edit: this is not the video for you to comment your lowest weights and post bodychecks. Please stop. ,137600,364,7117,585700,,spring into summer,2025-05-22 14:48:14,https://www.tiktok.com/@batmitzvahtheme69/video/7507281922083573023
7507350652742290718,luislizarraga.10,El verdadero guerrero dragon 🐕 #shifu #kungfupanda #gatos #perros #parati ,605700,3462,81900,6100000,"shifu, kungfupanda, gatos, perros, parati",sonido original,2025-05-22 19:14:54,https://www.tiktok.com/@luislizarraga.10/video/7507350652742290718
7503290631905709355,atupkarla02,,77100,257,16400,399400,,original sound,2025-05-11 20:40:24,https://www.tiktok.com/@atupkarla02/video/7503290631905709355
7507903423812078866,samyy_sm1rks,#вреки #питбайкер #эндуро #мотосезон ,116000,449,5050,1000000,"вреки, питбайкер, эндуро, мотосезон",MASHA ULTRAFUNK,2025-05-24 06:59:51,https://www.tiktok.com/@samyy_sm1rks/video/7507903423812078866
7507073827046837560,pr0m._.2o25,#viral_video #humor JAJAJAJAJAJAJAJAJAJAJA ay ve ,517200,2231,82100,3500000,"viral_video, humor",Stop Crying Your Heart Out,2025-05-22 01:20:38,https://www.tiktok.com/@pr0m._.2o25/video/7507073827046837560
7506425594431737131,family.guy.freak,funniest 5 Jewish moments in family guy  #familyguyclips #familyguy #top5 #viral #tiktok #briangriffin #familyguyfunnymoments #griffinfamily #fyp #dzfamily_ ,251000,373,30000,2200000,"familyguyclips, familyguy, top5, viral, tiktok, briangriffin, familyguyfunnymoments, griffinfamily, fyp, dzfamily_",original sound,2025-05-20 07:28:08,https://www.tiktok.com/@family.guy.freak/video/7506425594431737131
7505185542162763038,tessa0rrtega,They played innocent. I played patient🙂‍↕️,322800,240,1116,2000000,,original sound - yas,2025-05-16 23:13:13,https://www.tiktok.com/@tessa0rrtega/video/7505185542162763038
7506902605604457758,bey_mejia_,#chistes  #memes  #diversion  #sonrie😃nada🏊🏻‍♀️te☕️cuesta💰  #viral ,72800,3265,95900,3800000,"chistes, memes, diversion, sonrie😃nada🏊🏻‍♀️te☕️cuesta💰, viral",original sound,2025-05-21 14:16:23,https://www.tiktok.com/@bey_mejia_/video/7506902605604457758
7506921671190744363,esmoothvisionary,Then she talking bout I got a headache 🤦🏽‍♂️ #relatable #ericyatesjr #funny #relationships #couplegoals ,45500,162,16700,602500,"relatable, ericyatesjr, funny, relationships, couplegoals",original sound,2025-05-21 15:30:18,https://www.tiktok.com/@esmoothvisionary/video/7506921671190744363
7507109703466487086,_noelani,"if you know me, you know my lilo obsession runs deep😭❤️‍🔥 #owala #liloandstitch #unboxing #fyp",118100,503,38700,1600000,"owala, liloandstitch, unboxing, fyp",original sound,2025-05-22 03:40:30,https://www.tiktok.com/@_noelani/video/7507109703466487086
7500780124636220703,jooqi,,523300,1105,18300,2500000,,OH MA GAWD,2025-05-05 02:18:10,https://www.tiktok.com/@jooqi/video/7500780124636220703
7504835623174376734,kimberly_marieeee,My orange vanilla latte brings all the ladies to the yard #wlwtok #shakeit #icedcoffeetiktok #lesbiancouplegoals ,60500,186,546,617000,"wlwtok, shakeit, icedcoffeetiktok, lesbiancouplegoals",Milkshake,2025-05-16 00:35:24,https://www.tiktok.com/@kimberly_marieeee/video/7504835623174376734
7507589886568877334,kirbyy.pie,I’m just a loser #art #arttrend ,171500,393,5739,818900,"art, arttrend",original sound,2025-05-23 10:43:12,https://www.tiktok.com/@kirbyy.pie/video/7507589886568877334
7505983409609526559,c0smicsully,@Heyheyitscardon ,161200,454,25000,524200,,original sound,2025-05-19 02:49:25,https://www.tiktok.com/@c0smicsully/video/7505983409609526559
7505170632619904287,samanthakish,“I thought she was a redhead”  #hungergames #hungergamessotr #sotr #sunriseonthereaping #lenoredove #lenoredovebaird #hungergamescasting #lenoredovecasting #wyattcallow #haymitchabernathy #ampertlatier #louellamcoy #corneliassnow #lucygraybaird ,253500,1201,2179,1200000,"hungergames, hungergamessotr, sotr, sunriseonthereaping, lenoredove, lenoredovebaird, hungergamescasting, lenoredovecasting, wyattcallow, haymitchabernathy, ampertlatier, louellamcoy, corneliassnow, lucygraybaird",The Ballad of Lucy Gray Baird - from The Hunger Games: The Ballad of Songbirds & Snakes,2025-05-16 22:15:20,https://www.tiktok.com/@samanthakish/video/7505170632619904287
7506557553707322629,tt_zheka,,465800,2375,205200,3300000,,оригинальный звук,2025-05-20 15:57:11,https://www.tiktok.com/@tt_zheka/video/7506557553707322629
7505478175648927018,ashtinearle,i love this fit,79100,355,393,1900000,,original sound,2025-05-17 18:09:03,https://www.tiktok.com/@ashtinearle/video/7505478175648927018
7501455043682389279,colemelnik4020,Ice bucket,25400,278,506,447400,,original sound,2025-05-06 21:57:06,https://www.tiktok.com/@colemelnik4020/video/7501455043682389279
7497759998039035179,life_of_a_detailer,,29300,120,3096,247600,,original sound,2025-04-26 22:58:32,https://www.tiktok.com/@life_of_a_detailer/video/7497759998039035179
7504846873895767327,yulyy_d,You know we don’t want men to feel uncomfortable at the gym 😀😭 #gym #gymgirl #gymtok #fyp #relatable ,72900,551,455,1300000,"gym, gymgirl, gymtok, fyp, relatable",som original,2025-05-16 01:19:11,https://www.tiktok.com/@yulyy_d/video/7504846873895767327
7506043224948083990,ririmimiski,This is honestly so sad #sad #cry #depressing #dead #euginacooney #euginacooneyawarness ,150900,2010,1563,1600000,"sad, cry, depressing, dead, euginacooney, euginacooneyawarness",original sound,2025-05-19 06:41:28,https://www.tiktok.com/@ririmimiski/video/7506043224948083990
